,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI_Sc,MoransI_My,MoransI_Ept,MoransI_PEL,MoransI_LM,MoransI_Ml,MoransI_IO
1600002D24RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-9.569231708241697e-05,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1600002H07RIK,1116,False,False,1116,0.028212182,97.30668983492615,1169.0,0.002260920731660456,0.005696055105895106,0.028110995053088443,-0.005403741373127429,-0.01969371771114635,-0.007003814495402488,-0.018445929970038678
1600002K03RIK,374,False,False,374,0.00924317,99.09740322424945,383.0,0.0033998555952522865,-0.003589612708383183,-0.00840177276963912,-0.006301880259470419,-0.009222524328800028,-0.0005012072159974331,-0.027439923631923054
1600010M07RIK,323,False,False,323,0.0079640895,99.22048460276088,330.0,0.0015435501842216326,0.013443944131247542,0.012578010514262519,-2.0,-0.003893416131475615,-2.0,-0.010863311575541693
1600012H06RIK,938,False,False,938,0.023337195,97.7362679795347,967.0,0.0001784220890846881,0.0036123818680846966,0.01738255017612153,-0.009091552049037445,-0.007095366251775685,-0.02350486274789034,-0.03419294015275436
1600012P17RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1600014C10RIK,531,False,False,531,0.013587219,98.71850564726326,563.0,0.02571442813871265,0.00016215217297839253,0.03529997636969505,-0.007199845436586378,-0.009651423864056168,-0.0007592720345752845,-0.02573354663135427
1600020E01RIK,815,False,False,815,0.020248093,98.03311130417994,839.0,-0.0017593758389622541,-0.002267274566623009,0.004819958833076002,-0.010622636311438824,-0.03734820080477394,-0.035947379758362465,-0.030850782305074684
1600025M17RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700001C19RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,-0.00023072294375593648,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700001G11RIK,21,False,False,21,0.00053093926,99.94931943237765,22.0,-0.0004017465804712815,-2.0,-0.0016313662487040727,-2.0,-2.0,-2.0,-2.0
1700001G17RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00020349241089286,-2.0,-2.0,-2.0,-2.0,-2.0,0.0028636310580266128
1700001J03RIK,4,False,False,4,0.00012066802,99.99034655854813,5.0,-2.0,-2.0,-0.002987817171951705,-2.0,-2.0,-2.0,-2.0
1700001K19RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0003913825960143088,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700001L05RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,-2.0,-2.0,-0.0026867047706573195,-2.0,-2.0,-2.0,-2.0
1700001L19RIK,56,False,False,56,0.0013756154,99.86485181967372,57.0,0.00044508804746629246,-2.0,-0.0036138410501146408,-2.0,-2.0,-2.0,-0.002410050488397349
1700001O22RIK,184,False,False,184,0.004512984,99.55594169321364,187.0,8.95647898690551e-06,-2.0,-0.0061345755643877455,-0.005816585744769053,-0.0009815901761934971,-2.0,0.0028636310580266128
1700001P01RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,-0.0008398861435446199,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700003E16RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,-0.00019261285791391354,-0.0011614376864815497,-2.0,-2.0,-2.0,-2.0,0.0001732643876357806
1700003F12RIK,30,False,False,30,0.0007481417,99.92759918911092,31.0,3.5453652187045817e-06,-2.0,0.00010805424971251922,-2.0,-2.0,-2.0,0.03046547375135699
1700003G18RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0005895918505249629,-2.0,-2.0,-2.0,-2.0,-2.0,-0.027374005081474133
1700003M02RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700003P14RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700006J14RIK,86,False,False,86,0.0020996234,99.79245100878464,87.0,-0.0003814618591944144,0.00042356127129556233,-2.0,0.0020327408447736294,-0.006769698199683169,-2.0,-2.0
1700007B14RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,-0.001195647407584924,-0.0008692393563758955,-0.0030219588616294314,-2.0,-2.0,-2.0,-2.0
1700007G11RIK,30,False,False,30,0.0007722753,99.92759918911092,32.0,-0.00038394415684439554,-0.002148937364634916,-2.0,-2.0,-0.009603737152031134,-2.0,-2.0
1700007K13RIK,27,False,False,27,0.0006516073,99.93483927019983,27.0,-0.0006351346060938964,-2.0,0.007994209672624385,-2.0,-2.0,-2.0,-2.0
1700007L15RIK,64,False,False,64,0.0015928178,99.84554493676995,66.0,-0.000283931048113142,-0.00023825708968174117,-2.0,-2.0,-2.0,-2.0,-2.0
1700008F21RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.0001552545802488217,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700008J07RIK,277,False,False,277,0.006757409,99.33149917945747,280.0,-0.006033571380544623,-0.003813934063107473,-0.0020165990065927858,-0.00590192796843712,-2.0,-0.006122126165884108,0.00023983248187195194
1700008O03RIK,26,False,False,26,0.0006274737,99.9372526305628,26.0,-2.3923441652184806e-05,-4.423970469957977e-05,-2.0,-2.0,-2.0,-2.0,-2.0
1700009N14RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700010I14RIK,123,False,False,123,0.0030891013,99.70315667535476,128.0,-0.001331975306899698,-0.0025908454970239416,-2.0,-2.0,-2.0,-2.0,-2.0
1700010K23RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700010K24RIK,110,False,False,110,0.00267883,99.73453036007336,111.0,-0.0033150671476028493,-0.0037387704207582665,-0.003684671911061127,-2.0,-2.0,-0.0010607746365985085,-2.0
1700011I03RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.06880055025941122,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700011L22RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.0005935911841827303,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700012B07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700012C14RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,-0.0002772005311081253,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700012I11RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.0004843762553125431,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700012L04RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700013F07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-0.00026574524332003953,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700013N06RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700014D04RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-1.4860232021365532e-05,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700015O11RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700016D06RIK,79,False,False,79,0.0019065547,99.80934453132542,79.0,-0.00261047371851639,-2.0,-2.0,-2.0,-2.0,-2.0,-0.022104693841740977
1700016H13RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-2.0,-0.003759408938901145,-2.0,-2.0,-2.0,-2.0
1700016K19RIK,45,False,False,45,0.0010860121,99.89139878366638,45.0,-9.887808134568038e-05,-2.0,-0.011870844616366028,-2.0,-2.0,-2.0,-0.019809408124410583
1700016L21RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00033200281167464695,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700016P03RIK,44,False,False,44,0.0011342794,99.89381214402935,47.0,-0.0010112953848688312,-0.0011195320776631486,-2.0,-2.0,-2.0,-2.0,-2.0
1700017B05RIK,497,False,False,497,0.012163336,98.80055989960421,504.0,-0.0005956847803664881,-0.0029545094501228185,-7.101300298767039e-05,-0.014667235260256562,-2.0,0.0006954480049688386,-0.008062905426274577
1700017D01RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-0.0004681141968016507,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700017I07RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700018L02RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.00039129472040341735,-0.0011530954702521853,-2.0,-2.0,-2.0,-2.0,-2.0
1700019A02RIK,26,False,False,26,0.0006274737,99.9372526305628,26.0,0.006207863874254476,-3.462587519285033e-05,-0.0030952155706225563,-2.0,-2.0,-2.0,-2.0
1700019D03RIK,80,False,False,80,0.0019789555,99.80693117096244,82.0,0.0033691707966810648,-0.0018591887722010291,-2.9367956304507237e-05,-0.006317163126567877,-2.0,-2.0,-2.0
1700019G17RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,-0.0005063989617472383,-0.00026178586589345075,-2.0,-2.0,-2.0,-2.0,-2.0
1700019N19RIK,29,False,False,29,0.0006998745,99.93001254947389,29.0,-0.0007834283776848352,-0.0005276185825021688,-2.0,-2.0,-2.0,-2.0,-2.0
1700020D05RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700020G17RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,-0.00023114260161973883,-0.00010653710588668255,-2.0,-2.0,-2.0,-2.0,-2.0
1700020I14RIK,4705,False,False,4705,0.12542234,88.64513949222898,5197.0,0.004369286643404095,-0.002003985102533874,-0.005790205968289189,0.0031515130458006206,-0.008502343910755463,-0.02930658120830218,0.01949567707651215
1700020L24RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,-2.0,-0.002181073238787555,-2.0,-2.0,-2.0,-2.0,-2.0
1700021F05RIK,1932,False,False,1932,0.04916015,95.33738777874312,2037.0,0.008588363086816644,-0.0002177460167817954,0.004191628084283784,0.015258001349004515,-0.012960106560735573,-0.0217312616997105,0.03307568744538391
1700021K19RIK,826,False,False,826,0.020513562,98.00656434018727,850.0,-0.001331160588322736,0.0004231517659025419,0.019123266012534553,-0.0010421076679732442,0.0021041303794357086,-0.028553392369555928,-2.0
1700022A22RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-0.0001417259396331212,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700022I11RIK,10,False,False,10,0.00026546963,99.97586639637031,11.0,-0.000568275861414173,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700022N22RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700023E05RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700023F02RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700023F06RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-2.0,-2.0,-0.0006545287171371342,-2.0,-2.0,-2.0,-2.0
1700023H06RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.000668387000669437,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700024B05RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.0005273379635052094,-2.0,-2.0,-2.0,-2.0,-2.0,-0.00575377323525441
1700024B18RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700024P16RIK,91,False,False,91,0.0023409596,99.78038420696979,97.0,-0.0015536971502907444,-0.0035181007659590337,-2.0,-2.0,-2.0,-2.0,-2.0
1700025F22RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.000618194165314521,-0.00014497795189455742,-2.0,-2.0,-2.0,-2.0,-2.0
1700025G04RIK,1779,False,False,1779,0.044960905,95.70663191427744,1863.0,0.005570824424082982,-0.0054903572899998605,0.005253658824917759,-0.00023379385985426514,-0.001478870711381508,-0.01781846179984057,-0.028410031625978344
1700025H01RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,-0.0007365804882011057,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1700025K24RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-2.0,-2.0,-0.003197150331952639,-2.0,-2.0,-2.0,-2.0
1700026D08RIK,22,False,False,22,0.00053093926,99.94690607201467,22.0,-0.0003141743654210192,-0.000969575698590629,-2.0,-2.0,-2.0,-2.0,-2.0
