,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
4931423N10RIK,47,False,False,47,0.0011342794,99.88657206294043,47.0,-0.0007023783711088556
4931428F04RIK,1051,False,False,1051,0.026619365,97.46355825851917,1103.0,0.0027926276897853397
4931429I11RIK,27,False,False,27,0.0006516073,99.93483927019983,27.0,0.024680309931240547
4931429P17RIK,44,False,False,44,0.0010618785,99.89381214402935,44.0,0.0004905470999419188
4931440J10RIK,124,False,False,124,0.0031132349,99.7007433149918,129.0,-0.0007714428322194049
4932411E22RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.198420810514068e-05
4932411K12RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00019088069671519234
4932412D23RIK,19,False,False,19,0.00048267207,99.95414615310358,20.0,-5.4791361980886784e-05
4932431P20RIK,6,False,False,6,0.00016893522,99.98551983782218,7.0,-0.00014048277632113356
4932435O22RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0014029238843436135
4932438A13RIK,863,False,False,863,0.021575442,97.9172700067574,894.0,0.0015035789260447483
4932438H23RIK,7,False,False,7,0.00019306883,99.98310647745922,8.0,0.0014988038252485645
4932441J04RIK,77,False,False,77,0.0018824211,99.81417125205135,78.0,0.000451722546130728
4932443I19RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0007489999918569865
4932443L11RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-5.149249133515629e-05
4932702P03RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011533209779138996
4933402J07RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,-0.0002931698130497506
4933403O08RIK,3,False,False,3,9.6534415e-05,99.99275991891109,4.0,-6.816586996292088e-05
4933404O12RIK,369,False,False,369,0.009122502,99.1094700260643,378.0,0.0013339690994784933
4933405D12RIK,20,False,False,20,0.00048267207,99.95173279274061,20.0,-0.00046531735871981506
4933405L10RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011545358221842813
4933406C10RIK,81,False,False,81,0.0020272227,99.80451781059948,84.0,0.0007404501537888517
4933406F09RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.85370743878762e-05
4933406I18RIK,100,False,False,100,0.0025340284,99.75866396370307,105.0,0.0003722441458246328
4933406P04RIK,61,False,False,61,0.0014962835,99.85278501785886,62.0,-0.00031300145731928794
4933407K13RIK,314,False,False,314,0.007915822,99.2422048460276,328.0,0.0005991169681578856
4933407L21RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.667329128857759e-05
4933408B17RIK,94,False,False,94,0.0023650932,99.77314412588088,98.0,0.0005903599390008616
4933411G11RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.888559260686037e-05
4933413G19RIK,128,False,False,128,0.0032097693,99.69108987353992,133.0,0.0007450888450389684
4933413J09RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,0.0005564817964230771
4933415A04RIK,259,False,False,259,0.006516073,99.37493966599092,270.0,0.0019649599534000005
4933416M07RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00013834807335181366
4933417A18RIK,16,False,False,16,0.00038613766,99.96138623419249,16.0,-0.0003737333217154589
4933417C20RIK,40,False,False,40,0.0009894777,99.90346558548123,41.0,0.001005463898286928
4933417D19RIK,16,False,False,16,0.00041027126,99.96138623419249,17.0,0.0015547097825601409
4933417E11RIK,13,False,False,13,0.00033787044,99.9686263152814,14.0,-0.0003091392683811805
4933421O10RIK,100,False,False,100,0.0025340284,99.75866396370307,105.0,-3.376796723646318e-05
4933424L21RIK,14,False,False,14,0.00036200407,99.96621295491843,15.0,0.00016798199801374444
4933427D06RIK,10,False,False,10,0.00028960325,99.97586639637031,12.0,0.0006365315732899492
4933427D14RIK,909,False,False,909,0.022878656,97.80625543006082,948.0,0.002903770883003642
4933427E11RIK,4,False,False,4,0.00012066802,99.99034655854813,5.0,-8.919164707707957e-05
4933427E13RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.543777541026702e-05
4933427G17RIK,24,False,False,24,0.0005792065,99.94207935128874,24.0,0.00014093223577241575
4933429H19RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,-0.00030056660962327964
4933430I17RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,-1.1419188920589003e-05
4933431E20RIK,327,False,False,327,0.00803649,99.21083116130902,333.0,-0.0006847280164290074
4933431K14RIK,90,False,False,90,0.0021720242,99.78279756733276,90.0,0.00026068018527405034
4933431K23RIK,71,False,False,71,0.0017376195,99.82865141422917,72.0,0.0005027154947949412
4933433G15RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00018735299960061732
4933434E20RIK,1745,False,False,1745,0.04394729,95.78868616661839,1821.0,0.00218829156703408
4933436I20RIK,43,False,False,43,0.0010377449,99.8962255043923,43.0,0.0001824700306991518
4933439C10RIK,828,False,False,828,0.020851433,98.00173761946134,864.0,0.0009349029436706525
4933439K11RIK,33,False,False,33,0.0008446761,99.92035910802201,35.0,0.0012980923300182166
4933440M02RIK,6,False,False,6,0.00019306883,99.98551983782218,8.0,-0.00013339327112203852
5031414D18RIK,48,False,False,48,0.001158413,99.88415870257747,48.0,0.0006001864358468032
5031415H12RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.51079997408593e-05
5031425E22RIK,1122,False,False,1122,0.028550053,97.29220967274833,1183.0,0.0018491332056220892
5031425F14RIK,16,False,False,16,0.00038613766,99.96138623419249,16.0,-0.0003751879135371793
5031434O11RIK,57,False,False,57,0.0014480163,99.86243845931074,60.0,-0.00015298356664638236
5031439G07RIK,1680,False,False,1680,0.042233806,95.94555459021142,1750.0,0.0033016387184869513
5033403F01RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,-0.0003950789942283356
5033417F24RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,-0.0002833761041794055
5033426O07RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00013224238156463695
5033428I22RIK,16,False,False,16,0.00038613766,99.96138623419249,16.0,0.0002462538910625671
5033430I15RIK,147,False,False,147,0.0036200406,99.6452360266435,150.0,0.0014251941386880815
5330416C01RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00013859304029796557
5330417C22RIK,20,False,False,20,0.00048267207,99.95173279274061,20.0,0.0023708730630917344
5330426P16RIK,437,False,False,437,0.010739454,98.94536152138237,445.0,0.0028811134451583137
5330434G04RIK,64,False,False,64,0.0016169514,99.84554493676995,67.0,0.010016570467355282
5330439K02RIK,62,False,False,62,0.0015445506,99.8503716574959,64.0,0.00014837982568028505
5430400D12RIK,26,False,False,26,0.0006757409,99.9372526305628,28.0,-0.0006089490596045357
5430401F13RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00018603919552725182
5430402O13RIK,97,False,False,97,0.0024857612,99.76590404479197,103.0,2.1949542355738207e-05
5430403G16RIK,169,False,False,169,0.0041268463,99.59214209865817,171.0,0.0009220203174088099
5430405H02RIK,324,False,False,324,0.007988223,99.21807124239791,331.0,0.000522371280240927
5430416N02RIK,1048,False,False,1048,0.02584709,97.47079833960807,1071.0,0.0019362408860674803
5430419D17RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.247426172667447e-05
5430420F09RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.785907909953722e-05
5430427O19RIK,22,False,False,22,0.00053093926,99.94690607201467,22.0,-0.0001730729556899959
5530601H04RIK,759,False,False,759,0.019041413,98.16825948450622,789.0,0.0010554750455015836
5730405O15RIK,76,False,False,76,0.0018824211,99.81658461241433,78.0,0.0008165491342874548
5730409E04RIK,732,False,False,732,0.018438073,98.2334202143064,764.0,0.0025814035871797427
5730419F03RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,0.0022133694559057174
5730422E09RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00016476170303049992
5730455P16RIK,1194,False,False,1194,0.030094603,97.11844772661455,1247.0,0.0024569180694981154
5730457N03RIK,30,False,False,30,0.0007481417,99.92759918911092,31.0,0.005069116478343484
5730460C07RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0009169290198267815
5730507C01RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00016502947480740603
5730508B09RIK,674,False,False,674,0.017496863,98.37339511535863,725.0,0.04098231510511572
5730522E02RIK,382,False,False,382,0.009581041,99.07809634134568,397.0,0.0011257756378535693
5730559C18RIK,465,False,False,465,0.011366927,98.87778743121923,471.0,0.0024311612319634465
5730596B20RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.00035829675593469264
5830415B17RIK,14,False,False,14,0.00033787044,99.96621295491843,14.0,-0.0003369260762459074
5830415F09RIK,151,False,False,151,0.0036683078,99.63558258519161,152.0,0.001644228544282772
5830416P10RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001468651810963186
5830418P13RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,0.0016949228053601427
5830428H23RIK,1586,False,False,1586,0.040423784,96.17241046433054,1675.0,0.003542037759364134
5830444B04RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.884822888408738e-05
5830444F18RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00021242462662739113
5830454E08RIK,66,False,False,66,0.0015928178,99.84071821604402,66.0,-0.0003114879387810216
5830473C10RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0011984261381391295
5930403N24RIK,198,False,False,198,0.004874988,99.52215464813206,202.0,0.0017257929541181767
5930409G06RIK,69,False,False,69,0.0016893522,99.83347813495512,70.0,0.0016724036518012356
5930412G12RIK,466,False,False,466,0.011535862,98.87537407085625,478.0,0.009345465658432086
5930422O12RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,0.0005001783963506537
6030407O03RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,-0.0002627186503155119
6030408B16RIK,35,False,False,35,0.00086880976,99.91553238729607,36.0,0.0020267565224009257
6030419C18RIK,120,False,False,120,0.0029201661,99.71039675644367,121.0,-0.00011673866980539579
6030442K20RIK,146,False,False,146,0.0036683078,99.64764938700647,152.0,0.0014622832025580192
6030443J06RIK,366,False,False,366,0.009074235,99.11671010715321,376.0,-0.0004969337167918425
6030445D17RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,-0.00025778046854205524
6030458C11RIK,1095,False,False,1095,0.027608842,97.3573704025485,1144.0,0.0025117902624621786
6030460B20RIK,22,False,False,22,0.00053093926,99.94690607201467,22.0,0.00020679305453985786
6030468B19RIK,376,False,False,376,0.009581041,99.09257650352352,397.0,0.055382785239638826
6030498E09RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.00048091107377793747
6230400D17RIK,325,False,False,325,0.008012356,99.21565788203495,332.0,0.0007717963251316902
6230415J03RIK,332,False,False,332,0.008205425,99.19876435949416,340.0,0.00033271819803825194
6330403A02RIK,38,False,False,38,0.00094121054,99.90829230620716,39.0,0.0016161700083974749
6330403K07RIK,8125,False,False,8125,0.23513371,80.39144705087364,9743.0,0.04042705859546367
6330403L08RIK,114,False,False,114,0.0028236315,99.72487691862149,117.0,0.0031040635846348603
6330408A02RIK,698,False,False,698,0.017762333,98.31547446664736,736.0,0.0005108405743667092
6330409D20RIK,7,False,False,7,0.00019306883,99.98310647745922,8.0,-0.000163449456897244
6330416G13RIK,374,False,False,374,0.009194903,99.09740322424945,381.0,0.0003531645399897966
6330418K02RIK,227,False,False,227,0.0056231297,99.45216719760595,233.0,-0.00040126296710603755
6330562C20RIK,102,False,False,102,0.0025098948,99.75383724297711,104.0,0.0014271652656749115
6430511E19RIK,43,False,False,43,0.0010377449,99.8962255043923,43.0,-0.00014541063364444334
6430531B16RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.000217034589180415
6430548M08RIK,195,False,False,195,0.004802587,99.52939472922097,199.0,0.0014177225459369926
6430550D23RIK,81,False,False,81,0.002003089,99.80451781059948,83.0,0.00011136562509889714
6430562O15RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00014218313866098828
6430571L13RIK,74,False,False,74,0.0017858867,99.82141133314026,74.0,0.00021231260221821763
6430573F11RIK,114,False,False,114,0.0028236315,99.72487691862149,117.0,0.0006415978750375386
6430573P05RIK,15,False,False,15,0.00036200407,99.96379959455545,15.0,-0.00035677743995975126
6430590A07RIK,65,False,False,65,0.001641085,99.84313157640699,68.0,-0.00016033853433384266
6430710C18RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001453007773214344
6530401F13RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,0.0010917600668686562
6530402F18RIK,31,False,False,31,0.0008205425,99.92518582874796,34.0,0.0021569685558442773
6530403H02RIK,30,False,False,30,0.0007481417,99.92759918911092,31.0,0.0009440218031155169
6530409C15RIK,33,False,False,33,0.0007964089,99.92035910802201,33.0,0.00037691885035239637
6530411M01RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.871711929610405e-05
6720427I07RIK,986,False,False,986,0.024761077,97.62042668211217,1026.0,0.0013221187973789454
6720464F23RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.00028578365417718314
6720483E21RIK,15,False,False,15,0.00036200407,99.96379959455545,15.0,0.0005238083138569943
6720489N17RIK,211,False,False,211,0.005188725,99.49078096341346,215.0,0.000447062205972623
6820408C15RIK,55,False,False,55,0.0013273482,99.86726518003668,55.0,5.440745341227749e-05
7630403G23RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.657225521386847e-05
8030423F21RIK,15,False,False,15,0.00038613766,99.96379959455545,16.0,0.0025727649815293443
8030442B05RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011549231079309296
8030443G20RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.499069782283131e-05
8030445P17RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.14748217410404e-05
8030451A03RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,-4.032972874837549e-06
8030453O22RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.9513418195849e-05
8030462N17RIK,194,False,False,194,0.0047784536,99.53180808958393,198.0,0.00048545958764365736
8030474K03RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.0001732998567129674
8430408G22RIK,144,False,False,144,0.0035717734,99.6524761077324,148.0,0.0034684930989496033
8430419K02RIK,34,False,False,34,0.0008446761,99.91794574765905,35.0,0.00014583955917986342
8430419L09RIK,652,False,False,652,0.016121248,98.42648904334396,668.0,0.0009479840076492476
8430423G03RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,-0.000262942672761323
8430429K09RIK,556,False,False,556,0.013949223,98.65817163818902,578.0,0.0006482883639291596
8430432A02RIK,21,False,False,21,0.00053093926,99.94931943237765,22.0,-0.00048584519633840625
8430436N08RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.00032147398478713223
9030407P20RIK,110,False,False,110,0.00267883,99.73453036007336,111.0,0.00042237407926928687
9030612E09RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,-0.0002707750313288284
9030617O03RIK,52,False,False,52,0.0013514818,99.87450526112559,56.0,0.00032629108901127885
9030622O22RIK,34,False,False,34,0.0008205425,99.91794574765905,34.0,0.0008157985351145745
9030624G23RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00021141531711458642
9030624J02RIK,1194,False,False,1194,0.029901534,97.11844772661455,1239.0,0.0007084052767123042
9130008F23RIK,51,False,False,51,0.001279081,99.87691862148857,53.0,0.0007099076142510113
9130011E15RIK,433,False,False,433,0.010884255,98.95501496283426,451.0,0.0007292299238750668
9130017K11RIK,25,False,False,25,0.0006033401,99.93966599092576,25.0,0.0005093124278534422
9130019O22RIK,123,False,False,123,0.0029684333,99.70315667535476,123.0,-0.00014307939728356193
9130019P16RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.0001804193306984026
9130023H24RIK,182,False,False,182,0.0044888505,99.56076841393957,186.0,0.0005006917557166008
9130024F11RIK,52,False,False,52,0.0013032146,99.87450526112559,54.0,0.0012476066463595929
9130204K15RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011049683640414541
9130213A22RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001449582836142246
9130221H12RIK,483,False,False,483,0.012018534,98.83434694468578,498.0,0.0007807246051788699
9130230N09RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,0.0008498766250522187
9130401M01RIK,1895,False,False,1895,0.04788107,95.42668211217298,1984.0,0.002260541748019351
9130410C08RIK,28,False,False,28,0.0006998745,99.93242590983685,29.0,0.005176099935713373
9230020A06RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.460774131839248e-05
9230105E05RIK,44,False,False,44,0.0010618785,99.89381214402935,44.0,0.0036889877918049635
9230110C19RIK,180,False,False,180,0.0044164495,99.56559513466551,183.0,0.00042086842141678214
9230111E07RIK,49,False,False,49,0.0012066802,99.8817453422145,50.0,7.341877403319443e-05
9230112E08RIK,162,False,False,162,0.004078579,99.60903562119896,169.0,0.0011977976848521186
9230114K14RIK,255,False,False,255,0.006395405,99.3845931074428,265.0,0.0013221787337013952
9230116N13RIK,77,False,False,77,0.0019306883,99.81417125205135,80.0,-0.000373131289894406
9330020H09RIK,391,False,False,391,0.009725843,99.05637609807897,403.0,-8.363304046376003e-05
9330104G04RIK,135,False,False,135,0.0033545708,99.67419635099914,139.0,0.000504849074033079
9330111N05RIK,22,False,False,22,0.00053093926,99.94690607201467,22.0,-0.0005124160762833761
9330121J05RIK,6,False,False,6,0.00016893522,99.98551983782218,7.0,-0.00014144592708670368
9330136K24RIK,20,False,False,20,0.00048267207,99.95173279274061,20.0,-0.00048564981169225366
9330151L19RIK,300,False,False,300,0.0074572833,99.27599189110919,309.0,0.0008935029470183226
9330154J02RIK,69,False,False,69,0.0017134858,99.83347813495512,71.0,0.0007361109486398421
9330158H04RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.0002755806843609635
9330159F19RIK,65,False,False,65,0.0015928178,99.84313157640699,66.0,0.0017343413997892964
9330159M07RIK,51,False,False,51,0.0012308138,99.87691862148857,51.0,0.00045701927471836364
9330160F10RIK,64,False,False,64,0.0015686842,99.84554493676995,65.0,4.5442548997361e-05
9330161L09RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.0001616690680518266
9330162012RIK,54,False,False,54,0.0013273482,99.86967854039965,55.0,0.0006435173518248452
9330175M20RIK,52,False,False,52,0.0012549474,99.87450526112559,52.0,0.001093814556523351
9330179D12RIK,59,False,False,59,0.0014238827,99.85761173858481,59.0,-0.0003892838166406976
9330182L06RIK,133,False,False,133,0.0032580364,99.67902307172507,135.0,0.0018889484767861688
9330185C12RIK,77,False,False,77,0.0018582875,99.81417125205135,77.0,0.0003667888925267091
9330198N18RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.0002823190780635692
9430002A10RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.689257106676406e-05
9430015G10RIK,1826,False,False,1826,0.046505455,95.59320397721788,1927.0,0.0016724876530698572
9430016H08RIK,1150,False,False,1150,0.029105127,97.2246355825852,1206.0,0.0022301210174454065
9430020K01RIK,496,False,False,496,0.012235737,98.80297325996717,507.0,0.0013711088240446244
9430024E24RIK,67,False,False,67,0.0016652186,99.83830485568105,69.0,0.009143132617476308
9430034N14RIK,30,False,False,30,0.00072400813,99.92759918911092,30.0,0.0004491405139853182
9430037G07RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001325629731859871
9430037O13RIK,55,False,False,55,0.0013514818,99.86726518003668,56.0,0.00045842924964753154
9430038I01RIK,769,False,False,769,0.019113814,98.14412588087653,792.0,0.0012942838888422381
9430060I03RIK,35,False,False,35,0.00086880976,99.91553238729607,36.0,-7.41210384112156e-05
9430062P05RIK,52,False,False,52,0.001279081,99.87450526112559,53.0,0.000984806584969274
9430065F17RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00021116383011188865
9430069I07RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.331957555069665e-05
9430073C21RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0019799393872737647
9430087J23RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.064853728596899e-05
9430091E24RIK,75,False,False,75,0.0019548219,99.8189979727773,81.0,-0.00037341398416043344
9430092D12RIK,8,False,False,8,0.00026546963,99.98069311709624,11.0,-0.00016483230366473028
9430097D07RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00010834085122559485
9430098F02RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.25017611069593e-05
9530018H14RIK,187,False,False,187,0.004561251,99.54870161212472,189.0,0.017073213895663027
9530026P05RIK,88,False,False,88,0.0022444252,99.7876242880587,93.0,0.0004803517119918463
9530027J09RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,-0.0002883311686844069
9530036O11RIK,44,False,False,44,0.0010618785,99.89381214402935,44.0,0.0006335774881032616
9530046B11RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,-0.00024288464738765985
9530051G07RIK,16,False,False,16,0.00041027126,99.96138623419249,17.0,-0.0003688204153142943
9530052C20RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.33792000449964e-05
9530052E02RIK,80,False,False,80,0.0019789555,99.80693117096244,82.0,0.0009710860191847795
9530059O14RIK,54,False,False,54,0.001399749,99.86967854039965,58.0,-0.00011396708395566622
9530068E07RIK,3938,False,False,3938,0.10288155,90.4961868906265,4263.0,0.002615606810331777
9530077C05RIK,140,False,False,140,0.003402838,99.66212954918429,141.0,-0.00027277844621752
9530082P21RIK,45,False,False,45,0.0011101458,99.89139878366638,46.0,-6.338126625213213e-05
9630013D21RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011923204900030292
9630028B13RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.271998633148925e-05
9630028H03RIK,18,False,False,18,0.00043440488,99.95655951346654,18.0,-0.00042231447854064724
9830144P21RIK,35,False,False,35,0.0008446761,99.91553238729607,35.0,0.00011869197605267222
9830147E19RIK,238,False,False,238,0.0058885994,99.42562023361329,244.0,-4.4489995351035765e-05
9930012K11RIK,191,False,False,191,0.0046577854,99.53904817067286,193.0,0.0004773751437535453
9930014A18RIK,255,False,False,255,0.006395405,99.3845931074428,265.0,0.0005475537247944105
9930021J03RIK,2050,False,False,2050,0.05309393,95.05261125591274,2200.0,0.001913487869758388
9930038B18RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.00028783779627011743
9930104L06RIK,206,False,False,206,0.0050921906,99.50284776522831,211.0,0.0002658549767430021
9930111J21RIK2,17,False,False,17,0.00041027126,99.95897287382952,17.0,-0.00040094169990122924
A130010J15RIK,428,False,False,428,0.010546384,98.9670817646491,437.0,0.001095006646764336
A130014A01RIK,203,False,False,203,0.0050197896,99.5100878463172,208.0,0.0001614397964621014
A130030D18RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.318431852092153e-05
A130048G24RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,-0.00030417281243606684
A130050O07RIK,24,False,False,24,0.0006033401,99.94207935128874,25.0,-0.00020480100944759766
A130051J06RIK,44,False,False,44,0.0010618785,99.89381214402935,44.0,0.0006992147410636067
A1CF,53,False,False,53,0.0013032146,99.87209190076263,54.0,0.0042374621711688135
A230004M16RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,-0.0002522888353888556
A230005M16RIK,16,False,False,16,0.00038613766,99.96138623419249,16.0,0.00013940501641538695
A230006K03RIK,18,False,False,18,0.00043440488,99.95655951346654,18.0,0.00051656502294012
A230009B12RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-8.981780952232927e-05
A230028O05RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001419332417244161
A230046K03RIK,1167,False,False,1167,0.02912926,97.18360845641472,1207.0,0.001227291126303705
A230050P20RIK,195,False,False,195,0.004850854,99.52939472922097,201.0,0.0031207541315768548
A230052G05RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00019360991522243917
A230056P14RIK,37,False,False,37,0.00091707695,99.91070566657014,38.0,-0.0003067187286658787
A230060F14RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,-0.00024433958835673724
A230065H16RIK,32,False,False,32,0.0007964089,99.92277246838498,33.0,0.005413441446821584
A230072C01RIK,88,False,False,88,0.002123757,99.7876242880587,88.0,0.00017470131243242494
A230072E10RIK,18,False,False,18,0.00043440488,99.95655951346654,18.0,0.0005526373697572776
A230077H06RIK,26,False,False,26,0.0006757409,99.9372526305628,28.0,0.0008147396831167808
A230083G16RIK,18,False,False,18,0.00043440488,99.95655951346654,18.0,0.0014778051500090302
A230087F16RIK,16,False,False,16,0.00038613766,99.96138623419249,16.0,0.00014440976077189317
A230103J11RIK,44,False,False,44,0.0010618785,99.89381214402935,44.0,0.00020854372373077399
A230107N01RIK,52,False,False,52,0.0012549474,99.87450526112559,52.0,-0.0003274791280138251
A230108P19RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.0002756248593694485
A2M,164,False,False,164,0.004078579,99.60420890047303,169.0,0.005728645559553006
A330008L17RIK,95,False,False,95,0.0022926924,99.77073076551791,95.0,-0.0004588211504239153
A330009N23RIK,131,False,False,131,0.0032580364,99.68384979245101,135.0,0.0013614290416772905
A330015K06RIK,19,False,False,19,0.00048267207,99.95414615310358,20.0,-0.00013612699812313745
A330017A19RIK,45,False,False,45,0.0010860121,99.89139878366638,45.0,5.042103330868136e-05
A330023F24RIK,15,False,False,15,0.00038613766,99.96379959455545,16.0,0.000571307900585696
A330032B11RIK,16,False,False,16,0.00038613766,99.96138623419249,16.0,-0.0003700765256901603
A330033J07RIK,81,False,False,81,0.002003089,99.80451781059948,83.0,0.0008864912780136865
A330035P11RIK,24,False,False,24,0.0005792065,99.94207935128874,24.0,-0.00019459392096939305
A330040F15RIK,32,False,False,32,0.0007722753,99.92277246838498,32.0,0.00011183572463930752
A330041J22RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.0002179527461853367
A330044P14RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00016861509813274604
A330048O09RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00017610308516083302
A330050F15RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.217919917161468e-05
A330069E16RIK,93,False,False,93,0.0022444252,99.77555748624386,93.0,-0.0004662604816228563
A330069K06RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.00027402059980360266
A330070K13RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0014092817103632772
A330074K22RIK,38,False,False,38,0.00091707695,99.90829230620716,38.0,0.0005170859270901928
A330093E20RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,0.0004602040802309475
A330094K24RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,0.001399489839335753
A330102I10RIK,25,False,False,25,0.0006033401,99.93966599092576,25.0,0.0013765663513912725
A3GALT2,30,False,False,30,0.0007481417,99.92759918911092,31.0,0.0007436024915352204
A430005L14RIK,1778,False,False,1778,0.04520224,95.70904527464042,1873.0,0.004629673975512518
A430010J10RIK,15,False,False,15,0.00036200407,99.96379959455545,15.0,0.0015262843991555957
A430018G15RIK,62,False,False,62,0.001520417,99.8503716574959,63.0,-0.00019894050498908648
A430027C01RIK,34,False,False,34,0.0008446761,99.91794574765905,35.0,0.0002466722829532163
