,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
1500015A07RIK,370,False,False,370,0.009074235,99.10705666570132,376.0,5.523769989810693e-05
1500015O10RIK,37,False,False,37,0.00089294335,99.91070566657014,37.0,0.0034396434136316767
1500017E21RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,-0.00012968668723657668
1500026H17RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,-0.0002638310598206317
1520401A03RIK,83,False,False,83,0.0020996234,99.79969108987355,87.0,0.014078045435166223
1600002D24RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00019197931515554223
1600002H07RIK,1116,False,False,1116,0.028212182,97.30668983492615,1169.0,0.0032346415549968895
1600002K03RIK,374,False,False,374,0.00924317,99.09740322424945,383.0,0.0017116132175055792
1600010M07RIK,323,False,False,323,0.0079640895,99.22048460276088,330.0,0.0015481504923961866
1600012H06RIK,938,False,False,938,0.023337195,97.7362679795347,967.0,0.0014259229521915917
1600012P17RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0032229552055486896
1600014C10RIK,531,False,False,531,0.013587219,98.71850564726326,563.0,0.022124594833070617
1600020E01RIK,815,False,False,815,0.020248093,98.03311130417994,839.0,0.0003041254016739711
1600025M17RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.522718142114932e-05
1700001C19RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.0016651061605141733
1700001G11RIK,21,False,False,21,0.00053093926,99.94931943237765,22.0,0.0019498691978174715
1700001G17RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00021493318930663588
1700001J03RIK,4,False,False,4,0.00012066802,99.99034655854813,5.0,-9.635966934496371e-05
1700001K19RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014078700060412538
1700001L05RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.0005586058377587643
1700001L19RIK,56,False,False,56,0.0013756154,99.86485181967372,57.0,6.294135617958239e-05
1700001O22RIK,184,False,False,184,0.004512984,99.55594169321364,187.0,0.00021155670738699743
1700001P01RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,-0.0001303151289123848
1700003E16RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,-0.00023353943904004052
