x,y,n_genes,leiden
27.017,26.917,4288,2
27.013,27.885,3494,3
25.105,26.949,4064,4
26.095,27.828,5482,2
25.068,27.858,3978,3
26.04,26.933,3172,3
15.942,26.943,3640,0
16.002,27.941,4271,4
15.102,26.951,5335,0
15.035,27.891,4498,0
13.133,26.968,5632,0
14.07,27.899,4867,4
13.979,26.983,6318,0
13.087,27.961,3727,3
10.892,26.911,4028,2
12.139,28.005,5538,2
12.068,26.999,3587,3
16.981,26.937,4914,4
18.038,27.974,5095,2
18.004,26.964,2867,2
16.996,27.901,3459,3
14.058,28.995,3696,0
15.956,28.912,3333,3
15.037,28.942,4442,3
16.969,28.883,4434,2
9.92,26.907,3824,1
7.962,22.994,4610,1
20.973,26.907,4105,1
18.97,26.953,3622,1
27.93,26.89,2793,2
24.114,28.955,5122,1
25.134,28.934,3939,1
29.961,18.97,4914,1
