Gene,Wasserstein_Distance
0610009E02RIK,0.011136342978779738
0610009L18RIK,0.03516644027792547
0610009O20RIK,0.02444193217528537
0610010F05RIK,0.06104502496823349
0610010K14RIK,0.000760284465402047
0610011F06RIK,0.06284824628175625
0610025J13RIK,0.0001508381379097762
0610030E20RIK,0.028124587533166462
0610037L13RIK,0.06239665303390525
0610038B21RIK,0.0002453626047000951
0610040B10RIK,0.01336632593579377
0610040F04RIK,0.0044249540623483635
0610040J01RIK,0.0015756413675497719
0610043K17RIK,0.014604727323423959
1110001J03RIK,0.1545172829853414
1110002E22RIK,0.0036413980665827884
1110002J07RIK,0.00032869187626526926
1110002L01RIK,0.02508467367932888
1110002O04RIK,0.000534654036714664
1110004E09RIK,0.1141311614653516
1110004F10RIK,0.258958905261329
1110007C09RIK,0.010883786760060844
1110008F13RIK,0.11795439562699675
1110008L16RIK,0.008098882926794528
1110008P14RIK,0.1161329722962418
1110012L19RIK,0.02052149876165342
1110015O18RIK,0.00022357494557462463
1110017D15RIK,0.01345974853912529
1110018N20RIK,0.0034639470100841026
1110019D14RIK,0.004275427970946163
1110020A21RIK,0.004119063989484398
1110025M09RIK,0.0038469612214950257
1110028F11RIK,0.00014823555375402354
1110032A03RIK,0.03813511296786988
1110032F04RIK,0.016916106815748757
1110034G24RIK,0.019746873681801013
1110035H17RIK,0.0013410272750662838
1110037F02RIK,0.05573676237329436
1110038B12RIK,0.017039421032851425
1110038F14RIK,0.06454731676085218
1110046J04RIK,0.005570809521015295
1110051M20RIK,0.08705772623379432
1110059E24RIK,0.043367639213266425
1110059G10RIK,0.11394474631578064
1110065P20RIK,0.08142910928804598
1190002F15RIK,0.003049069770255573
1190002N15RIK,0.022220071425937557
1190005I06RIK,0.037908203143570636
1190007I07RIK,0.04540311699346916
1200014J11RIK,0.0403286922816716
1300002E11RIK,0.008868703469255529
1300017J02RIK,0.0022072265991650514
1500002C15RIK,0.0018333390994466033
1500002F19RIK,0.0025286708786472593
1500004A13RIK,0.06062762541675862
1500009C09RIK,0.23755373074953384
1500009L16RIK,0.02382108249872251
1500011B03RIK,0.09454579650612797
1500011K16RIK,0.16604501440239894
1500012F01RIK,0.16971805881064567
1500012K07RIK,0.0038018902682801646
1500015A07RIK,0.0093707631517379
1500015L24RIK,0.0005705197809128292
1500015O10RIK,0.05318460085805837
1500017E21RIK,0.004417205998054892
1500026H17RIK,0.015122668424925484
1500035N22RIK,0.0020653824013879287
1520401A03RIK,0.0003910041085182486
1600002D24RIK,5.345734467963274e-05
1600002H07RIK,0.008798680698094318
1600002K03RIK,0.004453338500220242
1600010M07RIK,0.01178961131349839
1600012H06RIK,0.013586092919483227
1600014C10RIK,0.014561036130867963
1600014C23RIK,0.0012735750611419755
1600020E01RIK,0.012466693385197352
1700001C02RIK,0.00039286892112781876
1700001C19RIK,0.00013710895485832591
1700001G11RIK,0.0008071905457067781
1700001G17RIK,0.0006338662316948046
1700001J03RIK,0.0002732030684402024
1700001K19RIK,7.474639005559086e-05
1700001L05RIK,0.0022897408204180696
1700001L19RIK,0.019816044854321663
1700001O22RIK,0.010174872951585
1700001P01RIK,9.23057018444156e-05
1700003D09RIK,0.002280137358331614
1700003E16RIK,0.010835496035158768
1700003F12RIK,0.0011236278736246061
1700003G18RIK,0.00011421400604174949
1700003L19RIK,0.00020672769768436707
1700003M02RIK,0.002619812499132671
1700003M07RIK,0.007051511940904946
1700007B14RIK,0.0006446919248995382
1700007F19RIK,3.481933175332609e-05
1700007G11RIK,0.004108183086214874
1700007K09RIK,0.00046715111784581916
1700007K13RIK,0.0061045249093081054
1700007L15RIK,0.0012940383415400087
1700007P06RIK,0.0014418398336360225
1700008F21RIK,0.0008755056822688043
1700008J07RIK,0.003887473354539469
1700008O03RIK,0.003921852084324209
1700010I02RIK,0.0001653862174831035
1700010I14RIK,0.0019128211452091716
1700010K23RIK,0.005061620297081063
1700010K24RIK,0.001627667173284743
1700011E24RIK,0.00048031352329849206
1700011I03RIK,0.001793458549038404
1700012B09RIK,0.0078927371564476
1700012C14RIK,0.0007435236431239823
1700012P22RIK,0.0002546513314664313
1700013F07RIK,0.0008288521815242483
1700015F17RIK,0.0001279680701764673
1700016A09RIK,0.0009010521805020103
1700016C15RIK,0.00023624644973967434
1700016D06RIK,0.000875163183519605
1700016G14RIK,0.0003659273528395543
1700016H13RIK,5.830912115888129e-05
1700016K19RIK,0.004222870573092386
1700016P03RIK,0.058000996211209264
1700017B05RIK,0.029098678465626457
1700017D01RIK,0.0001698957663683482
1700017N19RIK,0.0012423618857799574
1700018L02RIK,0.0016981396197338818
1700019A02RIK,0.001001989160086164
1700019B03RIK,0.0002782967269698042
