Gene,Wasserstein_Distance
0610009E02RIK,0.00029557367941544576
0610009L18RIK,0.001086661289064423
0610009O20RIK,0.005300402433558515
0610010F05RIK,0.014672197379917023
0610010K14RIK,0.0002947852408835129
0610011F06RIK,0.03098525061126644
0610025J13RIK,0.00029191113806593954
0610030E20RIK,0.009411494879770487
0610037L13RIK,0.008036457071723081
0610038B21RIK,0.00025923226928664217
0610040B10RIK,0.0021677184548061445
0610040F04RIK,0.004667708775256928
0610040J01RIK,0.0030007462528423945
0610043K17RIK,0.006534717152564708
1010001B22RIK,0.0012395118493567939
1110001J03RIK,0.02257284641008416
1110002E22RIK,0.0004012679431385922
1110002J07RIK,0.00041280884725236627
1110002L01RIK,0.002827667127438264
1110002O04RIK,0.0005329370759132203
1110004E09RIK,0.0028255816785653035
1110004F10RIK,0.033418632489155366
1110007C09RIK,0.01638672875453537
1110008F13RIK,0.02301687593342145
1110008L16RIK,0.0009590406009832271
1110008P14RIK,0.036107824884646075
1110012L19RIK,0.00515451589972022
1110015O18RIK,0.00037216084187364427
1110017D15RIK,0.017685885695048496
1110018N20RIK,0.0039344663924344506
1110019D14RIK,0.0015131270920286026
1110020A21RIK,0.0007626991231498463
1110025M09RIK,0.0006874579001856201
1110032A03RIK,0.03399943850945125
1110032F04RIK,0.007715227170636498
1110034G24RIK,0.0009469242711299521
1110035H17RIK,0.0001528235531624408
1110037F02RIK,0.016389166924251745
1110038B12RIK,0.010023943686858647
1110038F14RIK,0.01541002002341642
1110046J04RIK,0.004638532019795088
1110051M20RIK,0.01085830944297657
1110059E24RIK,0.00918492050543561
1110059G10RIK,0.008987731191416617
1110065P20RIK,0.014844572470508549
1190002F15RIK,0.0005164463490910969
1190002N15RIK,0.01161424337920607
1190005I06RIK,0.011899272258105087
1190007I07RIK,0.0016111588004782333
1200014J11RIK,0.00307292176530415
1300002E11RIK,0.008222416019723046
1300017J02RIK,0.0002576360148891532
1500002C15RIK,0.002674735251819206
1500002F19RIK,0.0005303581652801822
1500004A13RIK,0.013786305019903727
1500009C09RIK,0.14491534613038828
1500009L16RIK,0.00259151934266907
1500011B03RIK,0.02922524675517668
1500011K16RIK,0.00950936044729732
1500012F01RIK,0.058359899081001046
1500012K07RIK,0.0007252931786722155
1500015A07RIK,0.0030554961291146205
1500015L24RIK,0.0014577635024390699
1500015O10RIK,0.06491844327238717
1500017E21RIK,0.0015762119555503753
1500026H17RIK,0.0027203308945445634
1500035N22RIK,0.0007118517472126625
1520401A03RIK,8.749103129664941e-05
1600002D24RIK,0.00020305362908067936
1600002H07RIK,0.003058173160375093
1600002K03RIK,0.008534220823579576
1600010M07RIK,0.0019220157397144603
1600012H06RIK,0.0011056080994565607
1600014C10RIK,0.004307686830468003
1600014C23RIK,0.00022820150459507797
1600020E01RIK,0.0008232989863283777
1600025M17RIK,0.000172792484750869
1700001C02RIK,0.004156166942134966
1700001C19RIK,0.00018969392259848275
1700001G11RIK,0.0007218250977197372
1700001L05RIK,0.0008959570992339463
1700001L19RIK,0.003602547546197239
1700001O22RIK,0.005498598725804953
1700003D09RIK,0.0017905347828564126
1700003E16RIK,0.011477042107113233
1700003F12RIK,0.0006496218376588935
1700003L19RIK,0.0009762549181491542
1700003M02RIK,0.004823245159635016
1700003M07RIK,0.0012772240602527366
1700007B14RIK,0.0024470941286026397
1700007F19RIK,0.00018304935395169888
1700007G11RIK,0.002229554231345864
