gene,pearson_r,p,percent_cell,imp_sumup_norm
HPCA,0.4031533432495803,0.0,0.4176355766782653,0.77209467
C1QL2,0.37544123337092666,0.0,0.031627485926051656,0.22643265
6030445D17RIK,0.3609115074639194,0.0,0.00028289343404339583,0.0022276917
NRGN,0.32108215177195837,2.3955533667309233e-271,0.377210104953464,0.75527436
FIBCD1,0.3072575906508232,1.6853993467601428e-247,0.033579450620951086,0.111303166
TSHZ2,0.3021881675525996,4.506500934721427e-239,0.06925231265382331,1.0715712
PPP3CA,0.29877735615193823,1.695300538974208e-233,0.45183739285411184,0.48536578
CPNE6,0.28959537929783674,7.320895466899016e-219,0.11745735381481796,0.32643855
OLFM1,0.2778874964123724,5.583135419897353e-201,0.4691504710175677,0.48252222
HS3ST4,0.2766447468499322,3.9302738430059554e-199,0.09114826444878214,0.4239046
SLC1A7,0.27164660170602317,8.470468475469324e-192,0.00028289343404339583,0.0022112944
PROX1,0.27050361793555966,3.829944688445129e-190,0.042122832329061645,0.11559411
NEUROD6,0.2704957128123057,3.9319928666243253e-190,0.09055418823729101,0.2562192
CHGB,0.2695004048643615,1.070078195879392e-188,0.2702480975416561,0.4744688
NPTXR,0.26896221843643986,6.348983345935202e-188,0.10795213443095986,0.3735875
PTK2B,0.2649301557345244,3.463662179212328e-182,0.17842088885116977,0.37872633
CHN1,0.2591100494786386,4.4184323229183e-174,0.339387252821862,0.50784135
WIPF3,0.2568932121056943,4.771155913182313e-171,0.14003224985148094,0.48858294
SNAP25,0.255384008074728,5.33003730297915e-169,0.6012334153724292,0.46678546
SNCA,0.25478114820520276,3.475543616538935e-168,0.22173187360321367,0.47738
RBFOX1,0.2516270717657486,5.830328549284364e-164,0.2361877280828312,0.5029505
CRYM,0.24253204110726434,4.125432871812026e-152,0.09202523409431668,0.62023103
CPLX2,0.2379228762304883,2.715365602516997e-146,0.24549492206285892,0.49157825
AK7,0.23787348659064161,3.129674349521144e-146,0.011174290644714136,0.04777311
STXBP6,0.23604286389728002,5.905337713220515e-144,0.07737135421086877,0.37822166
NPTX1,0.23402518362584443,1.8064925934219408e-141,0.08495289824323178,0.15029718
CAMK2B,0.23192393489264507,6.60923612620917e-139,0.3120031684064613,0.37080756
CCDC33,0.2301915742261421,8.20650001277161e-137,0.004384848227672635,0.0042641363
COL6A5,0.2270712717042958,4.385209279640928e-133,0.0007921016153215084,0.0030191368
GRIA1,0.22152835957855455,1.3356630543192967e-126,0.24888964327137966,0.51926285
PRKCB,0.21901610745292632,1.0146534899211827e-123,0.2589323601799202,0.4274029
DKK3,0.218663763818297,2.555299041834412e-123,0.13428951314040002,0.3387038
NCALD,0.2168658564954381,2.7748534907947145e-121,0.2896262977736287,0.50268435
SPINK8,0.21299345496699118,5.8289754275618125e-117,0.02517751562986223,0.26333565
ATP2B1,0.21114145992573805,6.349467902582692e-115,0.28807038388639,0.35728586
ENC1,0.2099269983267722,1.3430494302026138e-113,0.18554980338906335,0.35687056
GRIA2,0.20947799691449692,4.1303338745559796e-113,0.256329740586721,0.31885248
VSNL1,0.20835415660525453,6.795019151414421e-112,0.3748338001074995,0.51969427
NCDN,0.20713022021458877,1.4080984240209882e-110,0.45526040340603696,0.42143685
CAMK2N1,0.20685898572773137,2.74933526313413e-110,0.5676256754080737,0.6501061
CCDC153,0.20328651806247183,1.691135999754889e-106,0.023480155025601857,0.4138488
PLP1,0.20319613155118763,2.1043367566181269e-106,0.5477948456816317,0.48659402
ZBTB20,0.20229803652084666,1.8362879479634394e-105,0.15632691165238055,0.4148332
NEFL,0.20178716328264867,6.267733718187052e-105,0.3571529604797873,0.5724969
EPHA4,0.20148500044992257,1.2935264108618233e-104,0.12288890774845115,0.22985059
TTLL6,0.20102225462989326,3.9145315497911794e-104,0.0013295991400039606,0.0030975628
MOBP,0.2004019386531139,1.7197475815649394e-103,0.3340122775750375,0.5264975
SYN2,0.2003807755096909,1.8086585574024613e-103,0.24238309428838156,0.46836677
FAM131A,0.20013454906896513,3.2499617762661394e-103,0.1555065206936547,0.2966631
SBK3,0.20000719737471886,4.3993432605881244e-103,0.0011032843927692437,0.0032332025
E130006D01RIK,0.19933221961804673,2.1822038536206005e-102,0.0011315737361735833,0.0028183416
CNP,0.1986051551119013,1.2168519870737582e-101,0.23641404283006592,0.36070552
PPP3R1,0.19548836704254766,1.7840098845921702e-98,0.27381255481060285,0.27773127
RASGRP1,0.19528162981715247,2.880742238212642e-98,0.18803926560864523,0.30972943
LPPR4,0.19432287011225044,2.6395179636232723e-97,0.12761322809697587,0.17994557
1700001C02RIK,0.19337428606461293,2.3352399700767004e-96,0.003366431865116411,0.004475123
MBP,0.19139688385246983,2.118628206935695e-94,0.589974256697502,0.5938051
SLC17A7,0.1913158516783702,2.5457779859276067e-94,0.18161758465586014,0.34205127
BASP1,0.18952617320425208,1.439829026178393e-92,0.35672862032872216,0.40588742
MEF2C,0.1865756474771333,1.0211516716089516e-89,0.19522475883334747,0.58965755
DNM1,0.18622074989363294,2.232402820133371e-89,0.281988175054457,0.3054012
TMEM212,0.18557155990712354,9.297050130619978e-89,0.013324280743443944,0.018102681
NSF,0.18527023282166255,1.7994555597974225e-88,0.33596424226993693,0.31095126
CCDC81,0.18446550118119562,1.0438326852868646e-87,0.0028289343404339583,0.0029269538
MAL,0.18377222617794448,4.715603869302563e-87,0.1963846219129254,0.3054566
SEMA5A,0.18375307737085123,4.915742027052222e-87,0.045376106820560695,0.08324424
DNAH12,0.1811017412660849,1.484949780481426e-84,0.0026309089366035815,0.0030596063
PGM2L1,0.18103978187973246,1.6951644747586066e-84,0.16569068431921696,0.257312
CLDN11,0.1806469392783485,3.9200768139026882e-84,0.13957962035701152,0.28134668
BCL11B,0.17992413325241505,1.8238532729259907e-83,0.06130300715720388,0.20917372
SYT1,0.1796811123638523,3.0538180794872243e-83,0.38235876545305386,0.4120749
CALM2,0.17870686345962794,2.393468293115983e-82,0.6231576565107924,0.41165218
PRKCE,0.17803999060492542,9.730253867145233e-82,0.17909983309287392,0.30829918
FAM163B,0.17797736909558282,1.109676285386366e-81,0.05442869670994936,0.25582284
3110035E14RIK,0.17661434499170744,1.9149711095974935e-80,0.11335539902118871,0.52613914
FAM216B,0.17614542773193909,5.074390945812047e-80,0.003366431865116411,0.0036322365
CALB1,0.17598450609948044,7.085155716012965e-80,0.08956406121813913,0.4417967
KCNJ13,0.17594184249838918,7.740324745637108e-80,0.008486803021301876,0.007365094
PVRL3,0.1751601801644048,3.8970960033080816e-79,0.026280800022631473,0.039123524
C1QL3,0.17510596598512151,4.358190747202912e-79,0.026450536083057512,0.046254717
AK5,0.17475422764601745,8.99513537700837e-79,0.060086565390817276,0.17236097
NELL2,0.1734852153462053,1.2129366647331548e-77,0.10928173357096382,0.16118065
IQGAP2,0.17225074027827203,1.4947711409668317e-76,0.044725451922260885,0.058058057
SV2B,0.17188359154479962,3.143313333302506e-76,0.09872980848114515,0.15364482
WASF1,0.17092459411377348,2.1734633877940373e-75,0.13960790970041587,0.14239725
LPL,0.1705377028750733,4.72649030019675e-75,0.018048601091968656,0.012585853
SPARC,0.16980411944116763,2.051371273005614e-74,0.2674191632012221,0.62931186
ERC2,0.1694952258558741,3.798531182852601e-74,0.12252114628419475,0.23024444
NEUROD2,0.16850678983479547,2.706308126086867e-73,0.09321338651729894,0.2651147
OCIAD2,0.16783854094924938,1.0137421583825637e-72,0.19491357605589973,0.36389062
RFX3,0.16639548407480353,1.7231056477856263e-71,0.030439333503069394,0.04452453
CAMK2A,0.16623414168245537,2.3614690836145824e-71,0.44561373730515713,0.6785182
BHLHE22,0.16583918709462236,5.100848778564904e-71,0.03284392769243826,0.10808147
2010300C02RIK,0.164136319754458,1.3807723017845146e-69,0.10583043367563438,0.30555078
GRIN2A,0.16395402358802483,1.9613419785869254e-69,0.11188435316416306,0.19042335
NRIP3,0.16372686113481041,3.0356519235189993e-69,0.15875979518515376,0.365671
2310007L24RIK,0.16279670967425774,1.8035415496046919e-68,0.0010184163625562251,0.0029159454
KIF5A,0.16185125382921617,1.0914380820915917e-67,0.6250247531754788,0.70404005
