Gene,Wasserstein_Distance
0610005C13RIK,0.010333783123588717
0610007P14RIK,0.03424318307670729
0610009B22RIK,0.05208871468811929
0610009E02RIK,0.03199378491356121
0610009L18RIK,0.006949762664961266
0610009O20RIK,0.010489942215026074
0610010F05RIK,0.13668849892080803
0610010K14RIK,0.0014747230999589361
0610025J13RIK,0.00102156994471302
0610030E20RIK,0.08247120857545395
0610037L13RIK,0.10414415928099656
0610038B21RIK,0.0005827918424397216
0610040B10RIK,0.0014085599331964248
0610040F04RIK,0.0005598084218421933
0610040J01RIK,0.014952533723240437
0610043K17RIK,0.004481392330768471
1010001B22RIK,0.0004644638789961097
1010001N08RIK,0.00019999923204321252
1110002E22RIK,0.002383244446327041
1110002J07RIK,0.004281426033634104
1110002L01RIK,0.03270855308335846
1110004E09RIK,0.05768917942249649
1110004F10RIK,0.13928883192442781
1110008F13RIK,0.08688200043449947
1110008L16RIK,0.06733369732796717
1110008P14RIK,0.02325022822909606
1110012L19RIK,0.04269424116467334
1110017D15RIK,0.003891285826260786
1110018N20RIK,0.000125904423901543
1110019D14RIK,0.06399379855502753
1110020A21RIK,0.004181876274369878
1110025M09RIK,0.004771554820710885
1110028F11RIK,0.0010713905460098324
1110032A03RIK,0.026087685931494294
1110032F04RIK,0.001779082283890768
1110034G24RIK,0.05400241937902096
1110035H17RIK,0.00039126485560396593
1110037F02RIK,0.07091958813832178
1110038B12RIK,0.14333918019482628
1110038F14RIK,0.15191473745363307
1110046J04RIK,0.0008102324550730775
1110051M20RIK,0.3398938583572111
1110059E24RIK,0.046815490412290085
1110059G10RIK,0.07142458118197868
1110065P20RIK,0.13979363517386542
1190002N15RIK,0.016518920324531765
1190005I06RIK,0.004055793438058988
1190007I07RIK,0.002722203982153742
1300002E11RIK,0.04388932464918492
1300017J02RIK,0.001384226432684225
1500002C15RIK,0.0030719089997373033
1500002F19RIK,0.02076220014277116
1500004A13RIK,0.058939638555527876
1500009C09RIK,0.0005926848578904475
1500009L16RIK,0.007455087359276634
1500011B03RIK,0.029120498009569652
1500011K16RIK,0.04519872559995556
1500012K07RIK,8.681984336064995e-05
1500015A07RIK,0.01800454415117056
1500015O10RIK,0.0015861269123724994
1500017E21RIK,0.002027542556394621
1500026H17RIK,0.003077938884604489
1520401A03RIK,0.003464423721723853
1600002D24RIK,0.003771390530617918
1600002H07RIK,0.05930580678188928
1600002K03RIK,0.013373891979239987
1600010M07RIK,0.02457118941565197
1600012H06RIK,0.04297297086168243
1600014C10RIK,0.024189543769661894
1600020E01RIK,0.10297646091618039
1700001C19RIK,0.0006348722443129757
1700001G11RIK,0.00045014991090047273
1700001G17RIK,0.000484658979456615
1700001J03RIK,2.561675976807472e-05
1700001K19RIK,0.0008638068128342801
1700001L05RIK,0.0003586915593779804
1700001L19RIK,0.0031492082382674714
1700001O22RIK,0.008512546032976468
1700001P01RIK,0.00014182676880319941
1700003E16RIK,9.380131877870606e-05
1700003F12RIK,0.0012970366399680908
1700003G18RIK,0.0005643566284397692
1700003P14RIK,1.9498366799779164e-05
1700006J14RIK,0.015055894143212147
1700007B14RIK,0.0018692590047568844
1700007G11RIK,0.05213589705517547
1700007K13RIK,0.0014342379447849986
1700007L15RIK,0.003885135113117661
1700008J07RIK,0.01187778694684433
1700008O03RIK,0.0007707636874150616
1700010I14RIK,0.0014853674706766834
1700010K23RIK,0.0016445656550073714
1700010K24RIK,0.0038486487004570757
1700011I03RIK,0.0014880388337410282
1700011L22RIK,0.00040329516773553414
1700012B07RIK,0.00022204695094409096
1700012C14RIK,0.0006744112077699546
1700012I11RIK,0.0003459298986166078
1700013F07RIK,0.0004668478034232468
1700013N06RIK,7.415958535600766e-05
1700014D04RIK,0.00013890340634585704
1700016D06RIK,0.004312354272917829
1700016H13RIK,0.00011374713646985092
1700016K19RIK,0.0029373150478388867
1700016L21RIK,0.0018401386200670175
1700016P03RIK,0.0016527520310811877
1700017B05RIK,0.024444869550612137
1700017D01RIK,0.0002035123446056194
1700018L02RIK,0.00010685782259695209
1700019A02RIK,0.016707143738050274
1700019D03RIK,0.001688904927136642
1700020D05RIK,0.001244929401578214
1700020G17RIK,0.0007902323345178899
1700020I14RIK,0.22377536663601696
1700020L24RIK,0.0007931339202849546
1700021F05RIK,0.10070472222565238
1700022A22RIK,5.616352347910286e-05
1700022I11RIK,0.01377398511084262
1700022N22RIK,7.59647784202368e-05
1700023F02RIK,0.0031108166336097165
1700023F06RIK,9.794191219839847e-05
1700023H06RIK,0.00103701981919389
1700024B18RIK,0.000860719855091724
1700024P16RIK,0.001511466413519669
1700025G04RIK,0.3582920135880938
1700025H01RIK,0.0012038939146577327
1700026D11RIK,0.00019490997050619952
1700026J12RIK,0.006629180124267949
1700027A07RIK,6.17032953790124e-05
1700027A15RIK,0.00036753468856432907
1700027H10RIK,0.003229830680814374
1700028E10RIK,0.01986067777255242
1700028I16RIK,0.0005322153940995478
1700028J19RIK,0.0004588909765930151
1700028P14RIK,7.042733309220931e-05
1700029H14RIK,0.0002413986759248374
1700029I15RIK,0.0005163047646837744
1700029J03RIK,0.0008693754442960749
1700029J07RIK,0.0024344960494321953
1700030C10RIK,0.0025686957157974315
1700030C12RIK,8.399028139432566e-05
1700030F04RIK,8.462117681840452e-05
1700030J22RIK,0.0044969847178511855
1700030K09RIK,0.009405631918211282
1700030N03RIK,0.001078502009538435
1700034H15RIK,0.0018747071540507415
1700034P13RIK,0.00217201311046127
1700037C18RIK,0.005360535217619129
1700037H04RIK,0.10578622825162722
1700040D17RIK,0.00017920662651693583
