Gene,Wasserstein_Distance
0610005C13RIK,0.03301613035528793
0610009B22RIK,0.16520268113392955
0610009O20RIK,0.07313448835037101
0610010F05RIK,0.15454781902772782
0610012G03RIK,0.7098015398651185
0610025J13RIK,0.0007641904749990384
0610030E20RIK,0.15238847221206053
0610037L13RIK,0.20364494380171297
0610038B21RIK,0.0033835966534565077
0610039K10RIK,0.00046063928581161536
0610040B10RIK,0.035022998935507095
0610040F04RIK,0.022441108497154413
0610040J01RIK,0.08684442987825508
0610043K17RIK,0.25577779710974546
1010001B22RIK,0.009070312355161989
1010001N08RIK,0.0023252317605489004
1100001I12RIK,0.0029462610047074197
1110002E22RIK,0.0042592310703396885
1110002J07RIK,0.0054562720732962665
1110002L01RIK,0.060608501513461074
1110002O04RIK,0.005048745253269093
1110004E09RIK,0.18291221711189476
1110004F10RIK,0.4267630702142236
1110006O24RIK,0.005608368385885008
1110008F13RIK,0.36558558153934173
1110008L16RIK,0.05649437213940027
1110008P14RIK,1.5020750569086359
1110012L19RIK,0.07491428423579771
1110015O18RIK,0.004722951709254651
1110017D15RIK,0.01635025077534573
1110019D14RIK,0.14247896280440556
1110020A21RIK,0.00857881748195868
1110032A03RIK,0.2349109880812752
1110032F04RIK,0.06466974669381072
1110034G24RIK,0.07147749210368698
1110035H17RIK,0.025894976270050794
1110038F14RIK,0.11262328814608567
1110046J04RIK,0.07733232995255995
1110051M20RIK,0.34148907956727315
1110059E24RIK,0.10839285935794102
1110059G10RIK,0.11594299786871101
1110065P20RIK,0.6651971879026498
1190002N15RIK,0.08458867308403897
1190005I06RIK,0.13258801748140112
1190007I07RIK,0.09606114213175644
1300014J16RIK,0.0014232490891182288
1300017J02RIK,0.03110271801774441
1500002C15RIK,0.0037478259312661755
1500009C09RIK,0.3814361834037133
1500009L16RIK,0.12539322341476578
1500011B03RIK,0.6427510088812256
1500011K16RIK,0.5182139098323572
1500015A07RIK,0.061283584364129826
1500015L24RIK,0.015132950291537196
1500015O10RIK,0.05807678753861546
1500035N22RIK,0.15880190646981412
1520401A03RIK,0.002187586670688548
1600002K03RIK,0.040238060328007454
1600010M07RIK,0.394392133933816
1600012H06RIK,0.051264267323842205
1600014C10RIK,0.08398514787905957
1600014C23RIK,0.006843905771881226
1600020E01RIK,0.11664120570495957
1700001C02RIK,0.00619351101083898
1700001C19RIK,0.0020413620101547712
1700001J03RIK,0.0009419596678480008
1700001K19RIK,0.027660249704131327
1700001L05RIK,0.007549494532023925
1700001L19RIK,0.12929139180456983
1700001O22RIK,0.019167538994896326
1700003C15RIK,0.008537470082264728
1700003E16RIK,0.06233762099068445
1700003F12RIK,0.08442780058880858
1700003L19RIK,0.004054727215529692
1700003M07RIK,0.028012754848403067
1700006E09RIK,0.0007898661915912716
1700007G11RIK,0.030004521794664677
1700007K13RIK,0.03558935686270874
1700007P06RIK,0.0008827852150167031
1700008J07RIK,0.012854345557568767
1700008O03RIK,0.12056186769116534
1700010I14RIK,0.008424360488869617
1700010K23RIK,0.09962178087496357
1700010K24RIK,0.047788969090685376
1700011D18RIK,0.004993430035001484
1700011I03RIK,0.02681774498234277
1700012B09RIK,0.00546203557846087
1700012C14RIK,0.0021282864881586407
1700013F07RIK,0.13582088828516964
1700013H16RIK,0.0013415776713886452
1700014D04RIK,0.0017340309077049003
1700015C15RIK,0.0005907629187966454
1700015F17RIK,0.0017226654734685835
1700016C15RIK,0.0012920632258329285
1700016D06RIK,0.8828623406668213
1700016F12RIK,0.0005223929824350146
1700016G14RIK,0.0015223608371643387
1700016K19RIK,0.024109071962404673
1700017B05RIK,0.05822428432621121
1700017D01RIK,0.003362734820520903
1700017M07RIK,0.0011250191185288646
1700017N19RIK,0.002834970548016476
1700018A04RIK,0.0021881486728401317
1700018B08RIK,0.004159975629687467
1700018L02RIK,0.03687021885847409
1700019A02RIK,0.003837103776102395
1700019D03RIK,0.03706702746091892
1700019G24RIK,0.012144531817810153
1700020G17RIK,0.0013729636412828602
1700020I14RIK,0.662477347966142
1700020L24RIK,0.002581316185182687
1700021F05RIK,0.13745452427981136
1700021F07RIK,0.0003081158371716326
1700021N21RIK,0.0011109761626784472
1700022I11RIK,0.04313670836450833
1700022N22RIK,0.006681425445645433
1700023F02RIK,0.00930765761508463
1700023F06RIK,0.08349281393760435
1700024B05RIK,0.20762046375039184
1700024G13RIK,0.005969390954351077
1700025F24RIK,0.004260100821274352
1700025G04RIK,0.17191490996559267
1700026D11RIK,0.0006121323667699301
1700026F02RIK,0.06840610140481157
1700026J12RIK,0.0013691147207761942
1700026J14RIK,0.001437966611953146
1700027A07RIK,0.003454574638957512
1700027A15RIK,0.009256098432555027
1700027H10RIK,0.049857114634947804
1700028J19RIK,0.007287613361958142
1700028P14RIK,0.015039201072399925
1700029I15RIK,0.009654030699559907
1700029J03RIK,0.0005542978088169842
1700029J07RIK,0.07688592652881762
1700030C14RIK,0.005640143352316523
1700030F04RIK,0.5428472973876879
1700030J22RIK,0.01183927741198221
1700030K09RIK,0.07191977757786057
1700031P21RIK,0.0006103007865398837
1700034G24RIK,0.0016588622771249756
1700034H15RIK,0.008357349259373488
1700034P13RIK,0.15673500420519879
1700036A12RIK,0.0032917575438568872
1700037C18RIK,0.06744658532498424
1700037F03RIK,0.015243847981109677
1700037H04RIK,0.3755698616321955
1700040D17RIK,0.004107669293270097
1700041G16RIK,0.0060852507178783075
1700041M19RIK,0.013693101513740187
1700045H11RIK,0.0010565722742110185
1700047F07RIK,0.009293223359265003
1700047M11RIK,0.13112750095676073
