,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,imp_sumup_Sc,imp_sumup_norm_Sc,imp_sumup_My,imp_sumup_norm_My,imp_sumup_Ept,imp_sumup_norm_Ept
1110025M09RIK,110,False,False,110,0.0027029635,99.73453036007336,112.0,0.004971244,0.00548063,0.010511876,0.0006732467,0.00568937,0.0005226544,0.35771102,0.005414131
1110028F11RIK,37,False,False,37,0.00091707695,99.91070566657014,38.0,0.0026363852,0.0029065267,0.0022873438,0.00014649589,0.002379174,0.000218563,0.00889254,0.00013459295
1110032A03RIK,713,False,False,713,0.017858867,98.27927406120281,740.0,0.02387171,0.026317762,0.21025845,0.013466274,0.27107853,0.024902647,0.5506091,0.008333738
1110032F04RIK,60,False,False,60,0.0014480163,99.85519837822183,60.0,0.0032589706,0.003592906,0.002616719,0.00016759115,0.0016621593,0.00015269438,0.13055287,0.0019759815
1110034G24RIK,290,False,False,290,0.007143547,99.30012549473888,296.0,0.0050149527,0.005528818,0.08324553,0.0053315675,0.6605884,0.060685,0.6138298,0.009290614
1110035H17RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.002367552,0.0026101468,0.00836324,0.0005356346,0.0016549488,0.00015203201,1.0521039,0.015924105
1110036E04RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.0023120241,0.0025489293,0.002291068,0.00014673443,0.001577981,0.00014496133,0.008539686,0.00012925231
1110037F02RIK,2534,False,False,2534,0.065257266,93.88454484023553,2704.0,0.076312006,0.084131435,2.892131,0.18523027,1.5550104,0.14285114,4.730634,0.07160047
1110038B12RIK,2914,False,False,2914,0.07423496,92.96746790230718,3076.0,0.09151466,0.10089186,1.552885,0.09945653,0.52249116,0.04799869,5.5439315,0.083910115
1110038F14RIK,2484,False,False,2484,0.06390578,94.00521285838401,2648.0,0.08453911,0.09320154,2.537843,0.16253944,3.07429,0.2824199,5.0070124,0.07578358
1110046J04RIK,90,False,False,90,0.0021961578,99.78279756733276,91.0,0.003938007,0.0043415213,0.05717096,0.003661588,0.002376322,0.000218301,0.04322813,0.0006542789
1110051M20RIK,1087,False,False,1087,0.02731924,97.37667728545226,1132.0,0.028213372,0.031104296,0.47436097,0.030381063,0.1340042,0.012310307,1.4922516,0.022585958
1110059E24RIK,1239,False,False,1239,0.03101168,97.00984651028092,1285.0,0.052010328,0.057339642,0.40050057,0.025650578,1.915818,0.17599675,9.933889,0.15035427
1110059G10RIK,1209,False,False,1209,0.030191138,97.08224732117,1251.0,0.037671823,0.041531928,0.59141606,0.037878007,0.20950319,0.019246027,5.3465686,0.08092293
1110065P20RIK,2239,False,False,2239,0.057220776,94.59648614731152,2371.0,0.042363998,0.04670489,1.5191575,0.09729641,0.872104,0.0801159,1.4933321,0.02260231
1190002F15RIK,918,False,False,918,0.022878656,97.7845351867941,948.0,0.033622745,0.037067953,0.19019115,0.012181038,0.352647,0.03239594,3.1796193,0.048125092
1190002N15RIK,1229,False,False,1229,0.03139782,97.03398011391062,1301.0,0.09606733,0.105911024,0.4314462,0.027632529,0.3608263,0.033147335,1.3358465,0.020218689
1190005I06RIK,219,False,False,219,0.0053335265,99.47147408050971,221.0,0.0049056485,0.005408313,0.039167702,0.002508546,0.008890016,0.00081668195,0.7159353,0.010836031
1190007I07RIK,119,False,False,119,0.0028960325,99.71281011680664,120.0,0.0039083916,0.0043088705,0.0073468075,0.00047053577,0.0022252665,0.00020442427,0.011049128,0.00016723396
1200007C13RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022831531,0.0025171,0.003648983,0.00023370385,0.0016308031,0.00014981384,0.008596762,0.00013011621
1200014J11RIK,1886,False,False,1886,0.047905203,95.44840235543971,1985.0,0.08092229,0.08921412,1.7763602,0.11376928,0.85046387,0.07812792,10.160021,0.15377688
1300002E11RIK,1032,False,False,1032,0.026064292,97.50941210541558,1080.0,0.03141779,0.03463706,0.5103446,0.032685682,0.26319438,0.02417837,9.354866,0.14159048
1300017J02RIK,303,False,False,303,0.0076020854,99.26875181002028,315.0,0.007604514,0.008383722,0.005840594,0.0003740684,0.003091423,0.00028399378,0.00870718,0.00013178741
1500002C15RIK,74,False,False,74,0.0018582875,99.82141133314026,77.0,0.0040174685,0.0044291248,0.094191834,0.006032638,0.17430387,0.016012436,1.2185112,0.018442765
1500002F19RIK,9,False,False,9,0.00024133603,99.97827975673329,10.0,0.002444783,0.0026952915,0.006103362,0.00039089774,0.0016006333,0.00014704229,0.008896262,0.00013464928
1500004A13RIK,70,False,False,70,0.0017134858,99.83106477459214,71.0,0.003371005,0.0037164201,0.0021879876,0.00014013248,0.0025091968,0.00023050753,0.009022868,0.00013656553
1500009C09RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,0.0023582953,0.0025999416,0.0025918642,0.00016599928,0.0016497559,0.00015155494,0.0085316645,0.00012913092
1500009L16RIK,550,False,False,550,0.013683753,98.67265180036682,567.0,0.0131208785,0.014465329,0.09750261,0.0062446813,0.022961458,0.002109356,0.17788078,0.0026923127
