,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
B930041F14RIK,301,False,False,301,0.015098232,98.58864350354011,322.0,0.007190203,0.0068168594
B930082K07RIK,17,False,False,17,0.00084400055,99.92028883574811,18.0,0.002932419,0.0027801564
B930095G15RIK,315,False,False,315,0.015754677,98.52299901533269,336.0,0.013961956,0.013236996
B9D1,231,False,False,231,0.011394007,98.9168659445773,243.0,0.0068286383,0.0064740684
B9D1OS,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023723685,0.0022491857
B9D2,356,False,False,356,0.017395789,98.3307544427252,371.0,0.007884971,0.007475552
BB218582,54,False,False,54,0.0027664462,99.74679983119988,59.0,0.0034848987,0.0033039493
BB365896,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.002581939,0.0024478748
BB557941,15,False,False,15,0.00079711166,99.92966661977775,17.0,0.0026063533,0.0024710211
BC002059,145,False,False,145,0.007127116,99.32011065785154,152.0,0.0059632687,0.0056536323
BC003331,1426,False,False,1426,0.082712054,93.3136399868711,1764.0,0.1165554,0.11050338
BC003965,786,False,False,786,0.039996248,96.31453087635393,853.0,0.06930165,0.065703236
BC004004,1085,False,False,1085,0.05645426,94.91255216392366,1204.0,0.15082875,0.14299713
BC005537,2037,False,False,2037,0.11028274,90.44872696581798,2352.0,0.1744725,0.1654132
BC005561,540,False,False,540,0.031040465,97.46799831199887,662.0,0.020003738,0.018965065
BC005624,1027,False,False,1027,0.054062925,95.18450790078305,1153.0,0.08891459,0.08429779
BC006965,78,False,False,78,0.004032447,99.63426642284429,86.0,0.0050521716,0.004789843
BC016548,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0040828753,0.0038708763
BC016579,7,False,False,7,0.00037511135,99.96717775589629,8.0,0.0026102755,0.0024747397
BC017158,233,False,False,233,0.011394007,98.90748816054766,243.0,0.014726603,0.013961941
BC017643,219,False,False,219,0.010784452,98.9731326487551,230.0,0.008389343,0.007953735
BC021785,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023795157,0.002255962
BC021891,38,False,False,38,0.0018286679,99.82182210343696,39.0,0.004166676,0.0039503262
BC022687,172,False,False,172,0.008346228,99.19351057345149,178.0,0.005874407,0.005569385
BC023829,348,False,False,348,0.0173489,98.36826557884372,370.0,0.013104846,0.012424391
BC024139,28,False,False,28,0.0014066676,99.86871102358512,30.0,0.002988207,0.0028330476
BC024978,49,False,False,49,0.002344446,99.77024429127397,50.0,0.0034077757,0.0032308307
BC025920,81,False,False,81,0.004126225,99.62019974679983,88.0,0.00539244,0.0051124436
BC026585,88,False,False,88,0.004220003,99.58737750269611,90.0,0.0069045555,0.006546044
BC027231,47,False,False,47,0.0023913349,99.7796220753036,51.0,0.004361765,0.004135285
BC028471,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023132532,0.00219314
BC028528,66,False,False,66,0.0032822245,99.69053312702208,70.0,0.004515899,0.0042814156
BC028777,25,False,False,25,0.0013128897,99.88277769962957,28.0,0.0034435978,0.0032647927
BC029214,830,False,False,830,0.041731138,96.10821962770197,890.0,0.10793618,0.102331705
BC029722,1049,False,False,1049,0.053547148,95.08135227645708,1142.0,0.09961387,0.09444153
BC030336,1206,False,False,1206,0.06550382,94.34519623013082,1397.0,0.07195425,0.068218105
BC030499,76,False,False,76,0.004032447,99.64364420687392,86.0,0.0045282,0.0042930776
BC030500,177,False,False,177,0.008815117,99.1700661133774,188.0,0.0043679983,0.0041411943
BC030867,24,False,False,24,0.001172223,99.8874665916444,25.0,0.0026899425,0.00255027
BC030870,15,False,False,15,0.0007033338,99.92966661977775,15.0,0.0026212968,0.002485189
BC031181,2631,False,False,2631,0.15243588,87.66352510901673,3251.0,0.2354036,0.22318052
BC034090,74,False,False,74,0.003563558,99.65302199090354,76.0,0.0048305155,0.004579696
BC035044,22,False,False,22,0.0010315563,99.89684437567404,22.0,0.0031791541,0.00301408
BC035947,50,False,False,50,0.002344446,99.76555539925916,50.0,0.0034115005,0.003234362
BC037032,13,False,False,13,0.00065644487,99.93904440380737,14.0,0.0024878397,0.0023586613
BC037034,654,False,False,654,0.03347869,96.93346462230976,714.0,0.021576993,0.020456629
BC037039,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0027227788,0.0025814013
BC039771,9,False,False,9,0.00056266703,99.95779997186665,12.0,0.002352499,0.0022303478
BC039966,80,False,False,80,0.004079336,99.62488863881464,87.0,0.0041849036,0.003967607
BC043934,9,False,False,9,0.0004688892,99.95779997186665,10.0,0.0023424935,0.0022208618
BC046251,5,False,False,5,0.00028133352,99.97655553992591,6.0,0.0022851636,0.002166509
BC048403,101,False,False,101,0.0050171143,99.52642190650349,107.0,0.004902235,0.004647692
BC048502,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0024921042,0.0023627041
BC048507,29,False,False,29,0.0013597787,99.86402213157031,29.0,0.0031369852,0.0029741006
BC048546,224,False,False,224,0.0108782295,98.94968818868102,232.0,0.009318116,0.008834283
BC049352,36,False,False,36,0.001781779,99.8311998874666,38.0,0.0032796038,0.0031093138
BC049635,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022901108,0.0021711993
BC049715,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.0024131094,0.0022878111
BC049762,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.0026418106,0.0025046372
BC051019,10,False,False,10,0.00051577814,99.95311107985184,11.0,0.0027092115,0.0025685388
BC051142,53,False,False,53,0.0027664462,99.7514887232147,59.0,0.0035997299,0.0034128176
BC051226,104,False,False,104,0.005064003,99.51235523045904,108.0,0.004372177,0.0041451566
BC051537,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002315178,0.0021949648
BC052040,203,False,False,203,0.011065785,99.04815492099218,236.0,0.00797699,0.007562794
BC053393,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.002374704,0.0022514001
BC055111,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0023626273,0.0022399505
BC055308,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.00223234,0.002116428
BC055324,19,False,False,19,0.0008908895,99.91091105171847,19.0,0.0027583223,0.0026150995
BC055402,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0028595324,0.0027110542
BC065397,59,False,False,59,0.0030008908,99.7233553711258,64.0,0.0042115645,0.0039928835
BC065403,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.002425762,0.002299807
BC067074,29,False,False,29,0.0014535565,99.86402213157031,31.0,0.0037571895,0.0035621012
BC068281,90,False,False,90,0.0043606698,99.57799971866648,93.0,0.0049052825,0.0046505807
BC089491,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0024793053,0.0023505702
BC106179,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.0025174944,0.0023867763
BC107364,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.0024343783,0.0023079757
BE692007,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022602319,0.0021428717
BAALC,217,False,False,217,0.010550007,98.98251043278474,225.0,0.005969663,0.005659695
BAAT,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022195799,0.0021043306
BABAM1,1187,False,False,1187,0.061377596,94.43428517841234,1309.0,0.15347409,0.14550512
BACE1,839,False,False,839,0.04435692,96.06601959956862,946.0,0.06803805,0.06450524
BACE2,87,False,False,87,0.0044075586,99.59206639471093,94.0,0.0038312369,0.003632304
BACH1,138,False,False,138,0.0067520044,99.35293290195527,144.0,0.01235027,0.011708995
BACH2,418,False,False,418,0.028086463,98.04004313780653,599.0,0.021997735,0.020855527
BACH2IT1,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0022826514,0.002164127
BAD,772,False,False,772,0.039199136,96.38017536456135,836.0,0.082866125,0.07856339
BAG1,3198,False,False,3198,0.19177568,85.00492333661556,4090.0,0.36705965,0.34800047
BAG2,140,False,False,140,0.007033338,99.34355511792563,150.0,0.005588264,0.0052980995
BAG3,200,False,False,200,0.010081118,99.06222159703661,215.0,0.009148927,0.008673879
BAG4,1026,False,False,1026,0.055422705,95.18919679279786,1182.0,0.07076728,0.06709277
BAG5,1034,False,False,1034,0.05509448,95.15168565667933,1175.0,0.14234595,0.13495478
BAG6,1297,False,False,1297,0.065785155,93.91850705678249,1403.0,0.12811331,0.12146116
BAHCC1,82,False,False,82,0.004126225,99.61551085478501,88.0,0.0048971334,0.004642855
BAHD1,417,False,False,417,0.021193791,98.04473202982136,452.0,0.013888837,0.013167675
BAIAP2,1454,False,False,1454,0.089557834,93.18235101045623,1910.0,0.16643026,0.15778854
BAIAP2L1,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0026524807,0.0025147535
BAIAP2L2,26,False,False,26,0.0012660008,99.87808880761476,27.0,0.0028959846,0.0027456135
BAIAP3,108,False,False,108,0.005767337,99.49359966239977,123.0,0.009801501,0.009292569
BAK1,145,False,False,145,0.00693956,99.32011065785154,148.0,0.0077536954,0.0073510935
BAMBI,110,False,False,110,0.005392226,99.48422187837014,115.0,0.0048683933,0.004615607
BANF1,1692,False,False,1692,0.09429362,92.06639471092981,2011.0,0.18927501,0.1794471
BANF2,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023061957,0.002186449
BANF2OS,5,False,False,5,0.00028133352,99.97655553992591,6.0,0.0024248445,0.002298937
BANK1,43,False,False,43,0.0021568902,99.79837764336288,46.0,0.0031931142,0.0030273153
BANP,422,False,False,422,0.021990903,98.02128756974727,469.0,0.023749374,0.022516213
BAP1,1338,False,False,1338,0.06991138,93.726262484175,1491.0,0.17547266,0.16636144
BARD1,6,False,False,6,0.00032822244,99.9718666479111,7.0,0.0023595446,0.0022370277
BARHL2,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002151748,0.0020400207
BARX2,41,False,False,41,0.0019693347,99.80775542739251,42.0,0.0032953727,0.003124264
BASP1,7413,False,False,7413,0.7507385,65.24124349416233,16011.0,0.47574225,0.45103985
BATF,4,False,False,4,0.0002344446,99.98124443194072,5.0,0.0028220767,0.0026755433
BATF2,19,False,False,19,0.0009846673,99.91091105171847,21.0,0.0025943231,0.0024596157
BATF3,30,False,False,30,0.0015004454,99.8593332395555,32.0,0.0028205374,0.002674084
BAX,722,False,False,722,0.036151357,96.6146199653022,771.0,0.07952773,0.07539834
BAZ1A,29,False,False,29,0.0014535565,99.86402213157031,31.0,0.00358174,0.003395762
BAZ1B,1896,False,False,1896,0.11431519,91.10986073990716,2438.0,0.21940117,0.20800899
BAZ2A,494,False,False,494,0.025273127,97.68368734468045,539.0,0.012526858,0.011876414
BAZ2B,1202,False,False,1202,0.07216205,94.36395179819009,1539.0,0.1709215,0.1620466
BBC3,172,False,False,172,0.008580673,99.19351057345149,183.0,0.0048108385,0.004561041
BBIP1,1049,False,False,1049,0.05335959,95.08135227645708,1138.0,0.118294254,0.11215195
BBOX1,97,False,False,97,0.0049233367,99.54517747456276,105.0,0.004330927,0.0041060485
BBS1,162,False,False,162,0.008018006,99.24039949359967,171.0,0.00539355,0.0051134955
BBS10,49,False,False,49,0.002344446,99.77024429127397,50.0,0.003892804,0.0036906742
BBS12,59,False,False,59,0.002907113,99.7233553711258,62.0,0.0039660474,0.0037601145
BBS2,346,False,False,346,0.017536456,98.37764336287336,374.0,0.008879939,0.008418858
BBS4,1145,False,False,1145,0.06292493,94.63121864303466,1342.0,0.11976711,0.11354832
BBS5,202,False,False,202,0.010362451,99.05284381300699,221.0,0.0054328623,0.005150767
BBS7,243,False,False,243,0.01214423,98.8605992403995,259.0,0.009096814,0.008624472
BBS9,273,False,False,273,0.014863788,98.71993247995499,317.0,0.007864799,0.007456428
BBX,814,False,False,814,0.04562292,96.18324189993905,973.0,0.16870297,0.15994325
BCAM,53,False,False,53,0.0025788906,99.7514887232147,55.0,0.02746168,0.026035761
BCAN,2187,False,False,2187,0.12814742,89.74539316359544,2733.0,0.3182096,0.3016869
BCAP29,1259,False,False,1259,0.06845783,94.09668495334552,1460.0,0.15874788,0.15050508
BCAP31,1728,False,False,1728,0.09429362,91.89759459839641,2011.0,0.12461652,0.118145935
BCAR1,696,False,False,696,0.035870023,96.73653115768744,765.0,0.08192434,0.077670515
BCAR3,207,False,False,207,0.01040934,99.0293993529329,222.0,0.0074673393,0.0070796055
BCAS1,1717,False,False,1717,0.099404514,91.94917241055938,2120.0,0.31445765,0.29812977
BCAS1OS2,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.0028772776,0.0027278778
BCAS2,1292,False,False,1292,0.06991138,93.94195151685658,1491.0,0.12516616,0.118667044
BCAS3,758,False,False,758,0.04468514,96.44581985276879,953.0,0.07857564,0.07449569
BCAT1,1362,False,False,1362,0.076100715,93.61372907581938,1623.0,0.13264586,0.12575836
BCAT2,60,False,False,60,0.002860224,99.71866647911098,61.0,0.0043039112,0.0040804353
BCCIP,885,False,False,885,0.04557603,95.85033056688704,972.0,0.08951453,0.08486659
BCDIN3D,133,False,False,133,0.006986449,99.37637736202936,149.0,0.0046963966,0.0044525415
BCHE,73,False,False,73,0.00346978,99.65771088291837,74.0,0.0047714286,0.004523677
BCKDHA,470,False,False,470,0.023256904,97.79622075303605,496.0,0.06508971,0.06171
BCKDHB,899,False,False,899,0.048670698,95.7846860786796,1038.0,0.07356903,0.06974904
BCKDK,607,False,False,607,0.030290242,97.15384254700614,646.0,0.04304594,0.040810827
BCL10,223,False,False,223,0.010643785,98.95437708069583,227.0,0.012828164,0.012162075
BCL11A,1620,False,False,1620,0.108641624,92.40399493599662,2317.0,0.16057701,0.15223923
BCL11B,1504,False,False,1504,0.10681296,92.94790640971539,2278.0,0.1900886,0.18021846
BCL2,277,False,False,277,0.0146293435,98.70117691189571,312.0,0.009418234,0.008929202
BCL2A1B,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0024582404,0.002330599
BCL2L1,1164,False,False,1164,0.061096262,94.54212969475313,1303.0,0.1060869,0.10057845
BCL2L11,62,False,False,62,0.00304778,99.70928869508136,65.0,0.0038496673,0.0036497773
BCL2L12,24,False,False,24,0.001172223,99.8874665916444,25.0,0.0033033662,0.0031318425
BCL2L13,499,False,False,499,0.025695128,97.66024288460636,548.0,0.022809021,0.021624686
BCL2L14,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0025315187,0.0024000723
BCL2L15,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.0025567487,0.0024239921
BCL2L2,972,False,False,972,0.04904581,95.44239696159798,1046.0,0.042832494,0.040608462
BCL3,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0024862222,0.0023571276
BCL6,497,False,False,497,0.026210906,97.669620668636,559.0,0.048924197,0.046383858
BCL6B,12,False,False,12,0.000609556,99.9437332958222,13.0,0.002864884,0.002716128
BCL7A,873,False,False,873,0.04599803,95.90659727106485,981.0,0.045779422,0.043402374
BCL7B,592,False,False,592,0.029399352,97.2241759272284,627.0,0.06581614,0.062398706
BCL7C,87,False,False,87,0.0044075586,99.59206639471093,94.0,0.004438138,0.004207692
BCL9,405,False,False,405,0.021146903,98.10099873399916,451.0,0.0094466,0.008956096
BCL9L,80,False,False,80,0.0037511135,99.62488863881464,80.0,0.0044996766,0.0042660357
BCLAF1,2940,False,False,2940,0.1913068,86.21465747643832,4080.0,0.28483605,0.27004623
BCO1,13,False,False,13,0.00065644487,99.93904440380737,14.0,0.0025425253,0.0024105075
BCO2,45,False,False,45,0.0022506681,99.78899985933325,48.0,0.0034998206,0.0033180963
BCOR,423,False,False,423,0.022272237,98.01659867773245,475.0,0.013041383,0.012364222
BCORL1,269,False,False,269,0.01434801,98.73868804801425,306.0,0.03795992,0.03598889
BCR,988,False,False,988,0.052796923,95.3673746893609,1126.0,0.07761414,0.07358411
BCS1L,317,False,False,317,0.0160829,98.51362123130303,343.0,0.012206043,0.011572258
BDH1,786,False,False,786,0.040043138,96.31453087635393,854.0,0.09849998,0.09338547
BDH2,62,False,False,62,0.0030946687,99.70928869508136,66.0,0.0050708787,0.0048075784
BDNF,875,False,False,875,0.054391146,95.89721948703522,1160.0,0.052674323,0.049939267
BDP1,774,False,False,774,0.044450697,96.37079758053171,948.0,0.06614189,0.06270754
BEAN1,147,False,False,147,0.0073146718,99.31073287382192,156.0,0.0058794077,0.0055741263
BECN1,1640,False,False,1640,0.09063628,92.31021709570028,1933.0,0.17148061,0.16257668
BEGAIN,419,False,False,419,0.020209124,98.03535424579172,431.0,0.036921848,0.03500472
BEND3,47,False,False,47,0.0022506681,99.7796220753036,48.0,0.0036556183,0.0034658043
BEND4,71,False,False,71,0.00346978,99.667088666948,74.0,0.0047856146,0.0045371265
BEND5,291,False,False,291,0.014957566,98.63553242368828,319.0,0.00666625,0.0063201124
BEND6,2791,False,False,2791,0.16978478,86.91330238664602,3621.0,0.26041958,0.24689758
BEND7,46,False,False,46,0.0024851128,99.78431096731842,53.0,0.0036744585,0.0034836659
BEST1,28,False,False,28,0.0014066676,99.86871102358512,30.0,0.0028444412,0.0026967465
BEST3,12,False,False,12,0.00056266703,99.9437332958222,12.0,0.0026330643,0.0024963454
BET1,529,False,False,529,0.026726684,97.51957612416186,570.0,0.040315952,0.03822259
BET1L,575,False,False,575,0.029633798,97.30388709148028,632.0,0.023058245,0.021860972
BEX1,1550,False,False,1550,0.08847939,92.7322173770338,1887.0,0.25808325,0.24468257
BEX2,5225,False,False,5225,0.4109814,75.50053922258171,8765.0,0.31590703,0.2995039
BEX4,175,False,False,175,0.008815117,99.17944389740704,188.0,0.0063875965,0.0060559274
BFAR,1110,False,False,1110,0.061846487,94.79532986355325,1319.0,0.18051952,0.17114624
BFSP1,18,False,False,18,0.00084400055,99.9155999437333,18.0,0.0033996487,0.0032231256
BFSP2,236,False,False,236,0.013222676,98.89342148450321,282.0,0.014323887,0.013580135
BGN,24,False,False,24,0.0012660008,99.8874665916444,27.0,0.0032398843,0.0030716567
BHLHA9,62,False,False,62,0.0030008908,99.70928869508136,64.0,0.0036739055,0.0034831418
BHLHB9,941,False,False,941,0.049233366,95.5877526140573,1050.0,0.060052257,0.05693411
BHLHE22,705,False,False,705,0.04210625,96.69433112955409,898.0,0.055648405,0.052758917
BHLHE23,16,False,False,16,0.0007502227,99.92497772776294,16.0,0.0027053843,0.00256491
BHLHE40,872,False,False,872,0.046326254,95.91128616307967,988.0,0.08960552,0.084952846
BHLHE41,731,False,False,731,0.036760915,96.57241993716885,784.0,0.03803799,0.036062904
BICC1,207,False,False,207,0.011487786,99.0293993529329,245.0,0.013619737,0.012912546
BICD1,1132,False,False,1132,0.067942046,94.69217423922727,1449.0,0.14693417,0.13930477
BICD2,752,False,False,752,0.03858958,96.4739532048577,823.0,0.052716855,0.04997959
BID,121,False,False,121,0.005861115,99.43264406620716,125.0,0.008778847,0.008323015
BIN1,3654,False,False,3654,0.25132462,82.86678857785905,5360.0,0.48535258,0.46015117
BIN2,126,False,False,126,0.006564449,99.40919960613307,140.0,0.0066293282,0.006285107
BIN3,194,False,False,194,0.009659117,99.09035494912553,206.0,0.0063479873,0.0060183746
BIRC2,499,False,False,499,0.02611713,97.66024288460636,557.0,0.054448098,0.05162094
BIRC3,18,False,False,18,0.0008908895,99.9155999437333,19.0,0.0031287032,0.0029662487
BIRC5,18,False,False,18,0.0009377784,99.9155999437333,20.0,0.0032661124,0.003096523
BIRC6,1375,False,False,1375,0.078914054,93.55277347962677,1683.0,0.13043086,0.123658374
BIRC7,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.002855837,0.0027075508
BIVM,271,False,False,271,0.01345712,98.72931026398462,287.0,0.007448609,0.007061848
BLCAP,1056,False,False,1056,0.053547148,95.04853003235336,1142.0,0.09492077,0.08999211
BLK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002382627,0.0022589117
BLM,115,False,False,115,0.005767337,99.46077741829605,123.0,0.0068502277,0.0064945365
BLMH,1375,False,False,1375,0.074553385,93.55277347962677,1590.0,0.09113482,0.08640274
BLNK,77,False,False,77,0.003985558,99.6389553148591,85.0,0.0034650557,0.0032851365
BLOC1S1,113,False,False,113,0.005392226,99.4701552023257,115.0,0.0047571263,0.004510117
BLOC1S2,353,False,False,353,0.017536456,98.34482111876963,374.0,0.022403354,0.021240085
BLOC1S3,93,False,False,93,0.0044075586,99.56393304262204,94.0,0.004696439,0.0044525815
BLOC1S4,479,False,False,479,0.024569795,97.7540207249027,524.0,0.029162778,0.02764853
BLOC1S5,422,False,False,422,0.021006236,98.02128756974727,448.0,0.035901245,0.034037113
BLOC1S6,353,False,False,353,0.017114457,98.34482111876963,365.0,0.01848374,0.017523991
BLVRA,689,False,False,689,0.036245134,96.76935340179116,773.0,0.054288156,0.051469304
BLVRB,178,False,False,178,0.008815117,99.16537722136259,188.0,0.006671248,0.006324851
BLZF1,389,False,False,389,0.019693347,98.17602100623623,420.0,0.016476115,0.015620612
BMF,14,False,False,14,0.00065644487,99.93435551179256,14.0,0.002928277,0.0027762293
BMI1,559,False,False,559,0.028320909,97.37890936371736,604.0,0.044783402,0.042458072
BMP1,329,False,False,329,0.016739344,98.45735452712525,357.0,0.011795936,0.011183444
BMP2,50,False,False,50,0.002438224,99.76555539925916,52.0,0.0031532778,0.002989547
BMP2K,354,False,False,354,0.01866179,98.34013222675482,398.0,0.062339645,0.05910273
BMP3,108,False,False,108,0.005954893,99.49359966239977,127.0,0.035019267,0.03320093
BMP4,29,False,False,29,0.0015942233,99.86402213157031,34.0,0.0037194581,0.0035263293
BMP5,25,False,False,25,0.001219112,99.88277769962957,26.0,0.0033558079,0.003181561
BMP6,19,False,False,19,0.0010784451,99.91091105171847,23.0,0.0028546802,0.002706454
BMP7,96,False,False,96,0.0047826697,99.54986636657758,102.0,0.0060094674,0.0056974324
BMP8A,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.002266277,0.002148603
BMP8B,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023084404,0.0021885769
BMPER,115,False,False,115,0.005954893,99.46077741829605,127.0,0.005126864,0.0048606573
BMPR1A,576,False,False,576,0.02949313,97.29919819946547,629.0,0.05236914,0.049649928
BMPR1B,251,False,False,251,0.013597786,98.82308810428096,290.0,0.04179618,0.03962596
BMPR2,1801,False,False,1801,0.10662541,91.55530548131476,2274.0,0.23335683,0.22124003
BMS1,636,False,False,636,0.034604024,97.01786467857644,738.0,0.040021192,0.037943132
BMX,24,False,False,24,0.001219112,99.8874665916444,26.0,0.0033138862,0.0031418162
BMYC,1419,False,False,1419,0.07596005,93.34646223097482,1620.0,0.14299162,0.13556692
BNC2,85,False,False,85,0.004032447,99.60144417874056,86.0,0.0045797615,0.0043419623
BNIP1,338,False,False,338,0.017114457,98.41515449899188,365.0,0.033163134,0.031441174
BNIP2,613,False,False,613,0.032447133,97.12570919491725,692.0,0.029043691,0.027535629
BNIP3,1149,False,False,1149,0.05997093,94.61246307497538,1279.0,0.082526475,0.07824138
BNIP3L,1643,False,False,1643,0.088760726,92.29615041965583,1893.0,0.19097708,0.1810608
BNIPL,4,False,False,4,0.00028133352,99.98124443194072,6.0,0.0023663542,0.0022434837
BOC,217,False,False,217,0.011534674,98.98251043278474,246.0,0.007433914,0.0070479163
BOD1,1185,False,False,1185,0.062174708,94.44366296244198,1326.0,0.12824906,0.12158987
BOD1L,2074,False,False,2074,0.1384161,90.27523796126975,2952.0,0.3006156,0.28500646
BOK,1734,False,False,1734,0.106906734,91.8694612463075,2280.0,0.44627407,0.42310175
BOLA1,530,False,False,530,0.026304685,97.51488723214705,561.0,0.021828532,0.02069511
BOLA2,1420,False,False,1420,0.07502227,93.34177333896,1600.0,0.26780644,0.2539009
BOLA3,679,False,False,679,0.034369577,96.81624232193933,733.0,0.09708397,0.09204299
BOLL,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.002306034,0.0021862956
BOP1,514,False,False,514,0.025273127,97.58990950438411,539.0,0.018802615,0.017826311
BORA,43,False,False,43,0.0020631126,99.79837764336288,44.0,0.0036651806,0.00347487
BPGM,1684,False,False,1684,0.09298073,92.10390584704834,1983.0,0.23125356,0.21924597
BPHL,637,False,False,637,0.032447133,97.01317578656163,692.0,0.028096963,0.026638057
BPIFA5,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023840123,0.0022602251
BPIFC,4,False,False,4,0.0002344446,99.98124443194072,5.0,0.0022705714,0.0021526746
BPNT1,901,False,False,901,0.046654474,95.77530829464997,995.0,0.12676138,0.12017943
BPTF,1969,False,False,1969,0.12345853,90.76757162282553,2633.0,0.2521215,0.23903038
BRAF,2160,False,False,2160,0.13058564,89.87199324799549,2785.0,0.24223416,0.2296564
BRAP,738,False,False,738,0.03854269,96.53959769306513,822.0,0.09482741,0.0899036
BRAT1,194,False,False,194,0.009752896,99.09035494912553,208.0,0.0063896724,0.0060578953
BRCA1,30,False,False,30,0.0016411123,99.8593332395555,35.0,0.0037638373,0.0035684041
BRCA2,98,False,False,98,0.005251559,99.54048858254795,112.0,0.00534438,0.0050668786
BRCC3,922,False,False,922,0.04777981,95.67684156233882,1019.0,0.050919976,0.048276007
BRD1,464,False,False,464,0.023772683,97.82435410512495,507.0,0.028825784,0.027329037
BRD2,1783,False,False,1783,0.09771651,91.63970553758148,2084.0,0.14879487,0.14106886
BRD3,1026,False,False,1026,0.055422705,95.18919679279786,1182.0,0.109385066,0.10370537
BRD4,1141,False,False,1141,0.06292493,94.64997421109392,1342.0,0.13997386,0.13270587
BRD7,967,False,False,967,0.052140478,95.46584142167205,1112.0,0.14963946,0.14186959
BRD8,746,False,False,746,0.038964693,96.5020865569466,831.0,0.059218284,0.05614344
BRD9,970,False,False,970,0.05260937,95.4517747456276,1122.0,0.07596612,0.07202166
BRDT,472,False,False,472,0.024710461,97.78684296900643,527.0,0.024821032,0.023532229
BRE,916,False,False,916,0.050077368,95.70497491442772,1068.0,0.12062987,0.11436629
BRF1,573,False,False,573,0.029164908,97.31326487550992,622.0,0.056549687,0.053613406
BRF2,127,False,False,127,0.0060017817,99.40451071411826,128.0,0.0047110147,0.0044664
BRI3,379,False,False,379,0.018802457,98.22290992638439,401.0,0.0086989375,0.008247254
BRI3BP,1075,False,False,1075,0.05687626,94.95944108407184,1213.0,0.079488106,0.075360775
BRICD5,22,False,False,22,0.0010315563,99.89684437567404,22.0,0.0031739078,0.003009106
BRINP1,3532,False,False,3532,0.30787265,83.4388334036667,6566.0,0.33984795,0.32220173
BRINP2,660,False,False,660,0.03985558,96.90533127022086,850.0,0.039990805,0.037914325
BRINP3,504,False,False,504,0.038964693,97.63679842453227,831.0,0.093835235,0.08896294
BRIP1,14,False,False,14,0.00065644487,99.93435551179256,14.0,0.0030035772,0.0028476198
BRIP1OS,280,False,False,280,0.014066676,98.68711023585128,300.0,0.007376684,0.006993658
BRIX1,749,False,False,749,0.039199136,96.48801988090214,836.0,0.12134783,0.11504698
BRK1,3134,False,False,3134,0.1879308,85.30501242556385,4008.0,0.25654638,0.24322549
BRMS1,386,False,False,386,0.019130679,98.19008768228068,408.0,0.026080456,0.024726257
BRMS1L,975,False,False,975,0.053312704,95.42833028555351,1137.0,0.066708595,0.06324482
BROX,273,False,False,273,0.013222676,98.71993247995499,282.0,0.0065417364,0.0062020635
BRPF1,442,False,False,442,0.022366015,97.92750972945093,477.0,0.021523481,0.020405896
BRPF3,247,False,False,247,0.01256623,98.84184367234022,268.0,0.007943613,0.00753115
BRSK1,1490,False,False,1490,0.07713228,93.01355089792283,1645.0,0.17429864,0.16524838
BRSK2,1307,False,False,1307,0.06906738,93.87161813663431,1473.0,0.1305923,0.12381143
BRWD1,1530,False,False,1530,0.08599428,92.82599521733015,1834.0,0.15853865,0.1503067
BRWD3,255,False,False,255,0.013691565,98.8043325362217,292.0,0.01130467,0.010717686
