,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
1500015L24RIK,23,False,False,23,0.001219112,99.89215548365921,26.0,0.0027554887,0.002612413
1500015O10RIK,32,False,False,32,0.0016880011,99.84995545552586,36.0,0.0032871822,0.0031164987
1500017E21RIK,39,False,False,39,0.0018286679,99.81713321142213,39.0,0.0056373733,0.0053446586
1500026H17RIK,135,False,False,135,0.006798893,99.36699957799972,145.0,0.0061104707,0.005793191
1500035N22RIK,31,False,False,31,0.0015942233,99.85464434754067,34.0,0.0027366332,0.0025945362
1520401A03RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0023644457,0.0022416743
1600002D24RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0025714561,0.002437936
1600002H07RIK,158,False,False,158,0.007924227,99.25915506165893,169.0,0.0058491807,0.005545468
1600002K03RIK,99,False,False,99,0.004688892,99.53579969053312,100.0,0.004290092,0.0040673334
1600010M07RIK,117,False,False,117,0.0056266706,99.45139963426642,120.0,0.0050665587,0.004803483
1600012H06RIK,326,False,False,326,0.016598677,98.4714212031697,354.0,0.015632393,0.014820698
1600014C10RIK,284,False,False,284,0.013785343,98.668354667792,294.0,0.010596128,0.010045935
1600014C23RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0025590323,0.0024261572
1600020E01RIK,185,False,False,185,0.009284006,99.13255497725886,198.0,0.0068272813,0.0064727818
1600025M17RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0025015727,0.0023716812
1700001C02RIK,21,False,False,21,0.0010784451,99.90153326768885,23.0,0.002713174,0.0025722955
1700001C19RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022992475,0.0021798618
1700001G01RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023250747,0.0022043479
1700001G11RIK,15,False,False,15,0.0007502227,99.92966661977775,16.0,0.0027965708,0.002651362
1700001L05RIK,16,False,False,16,0.0007502227,99.92497772776294,16.0,0.0026131591,0.0024774736
1700001L19RIK,324,False,False,324,0.016223567,98.48079898719932,346.0,0.021744417,0.020615362
1700001O22RIK,77,False,False,77,0.0036573359,99.6389553148591,78.0,0.004365593,0.0041389144
1700003D09RIK,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0028227642,0.0026761952
1700003E16RIK,164,False,False,164,0.0077366717,99.23102170957003,165.0,0.005770357,0.005470737
1700003F12RIK,13,False,False,13,0.000609556,99.93904440380737,13.0,0.002936644,0.002784162
1700003H04RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0025201975,0.002389339
1700003L19RIK,12,False,False,12,0.000609556,99.9437332958222,13.0,0.0025273415,0.002396112
1700003M02RIK,25,False,False,25,0.001219112,99.88277769962957,26.0,0.0027910706,0.0026461473
1700003M07RIK,86,False,False,86,0.004220003,99.59675528672575,90.0,0.0040966845,0.0038839686
1700007B14RIK,38,False,False,38,0.0019693347,99.82182210343696,42.0,0.0035314006,0.0033480364
1700007F19RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023305605,0.0022095484
1700007G11RIK,60,False,False,60,0.0034228913,99.71866647911098,73.0,0.0042091436,0.0039905887
1700007K13RIK,62,False,False,62,0.00304778,99.70928869508136,65.0,0.003413719,0.0032364652
1700007L15RIK,17,False,False,17,0.00079711166,99.92028883574811,17.0,0.0028093634,0.0026634904
1700007P06RIK,23,False,False,23,0.0010784451,99.89215548365921,23.0,0.0025413577,0.0024094004
1700008F21RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002299189,0.0021798061
1700008J07RIK,53,False,False,53,0.0026257795,99.7514887232147,56.0,0.0034193988,0.0032418503
1700008O03RIK,88,False,False,88,0.0043606698,99.58737750269611,93.0,0.0042874827,0.00406486
1700010B13RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.002466297,0.0023382371
1700010I14RIK,50,False,False,50,0.0027664462,99.76555539925916,59.0,0.004471104,0.0042389464
1700010K23RIK,32,False,False,32,0.0015004454,99.84995545552586,32.0,0.0030546796,0.0028960689
1700010K24RIK,16,False,False,16,0.0007502227,99.92497772776294,16.0,0.0026280927,0.0024916318
1700011A15RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0023757399,0.002252382
1700011E24RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0027255646,0.0025840427
1700011I03RIK,22,False,False,22,0.0010315563,99.89684437567404,22.0,0.002829882,0.0026829434
1700011L22RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023439003,0.0022221957
1700012B07RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0025574006,0.0024246103
1700012B09RIK,32,False,False,32,0.0016880011,99.84995545552586,36.0,0.0034841786,0.0033032664
1700012C14RIK,4,False,False,4,0.0002344446,99.98124443194072,5.0,0.0022672254,0.002149502
1700012P22RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022490656,0.0021322854
1700013F07RIK,23,False,False,23,0.0010784451,99.89215548365921,23.0,0.0028823141,0.002732653
1700013N06RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0024684013,0.0023402323
1700014D04RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0023185175,0.0021981308
1700015F17RIK,13,False,False,13,0.000609556,99.93904440380737,13.0,0.0023838358,0.0022600577
1700016A09RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.002507369,0.0023771767
1700016D06RIK,51,False,False,51,0.0023913349,99.76086650724434,51.0,0.003289363,0.0031185667
1700016G14RIK,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0025078708,0.0023776523
1700016K19RIK,56,False,False,56,0.0032353355,99.73742204717026,69.0,0.003433347,0.0032550741
1700016P03RIK,336,False,False,336,0.021334458,98.42453228302152,455.0,0.04789598,0.04540903
1700017B05RIK,139,False,False,139,0.0068457825,99.34824400994046,146.0,0.0061840224,0.0058629233
1700017N19RIK,11,False,False,11,0.00056266703,99.94842218783701,12.0,0.0025561634,0.0024234373
