Gene1,Gene2,BME,DEEI(1Express_2Silence),Prob(1E_2S),DEEI(1Silence_2Express),Prob(1S_2E)
NRGN,PTGDS,0.46740632809508137,-0.0,1.0,232.49840287355678,3.1739284078495004e-233
MT-RNR2,VSTM2A,0.46726924338601095,1000.0,0.0,-0.0,1.0
MT-RNR2,TMBIM1,0.46722694051541974,1000.0,0.0,-0.0,1.0
MT-RNR2,A830018L16RIK,0.4670713972117742,1000.0,0.0,-0.0,1.0
MT-RNR2,RASD2,0.46704295693296577,1000.0,0.0,-0.0,1.0
MT-RNR2,GARNL3,0.4669439716821255,1000.0,0.0,-0.0,1.0
MT-RNR2,GPC5,0.466802476951524,1000.0,0.0,-0.0,1.0
MT-RNR2,SLAIN1,0.4667747027670277,1000.0,0.0,-0.0,1.0
MT-CYTB,THBS4,0.46671771103399895,1000.0,0.0,-0.0,1.0
MT-RNR2,CCND2,0.4666045339457276,1000.0,0.0,-0.0,1.0
MT-ND1,THBS4,0.4663217849195544,1000.0,0.0,-0.0,1.0
MT-RNR2,CRTAC1,0.46622271726116865,1000.0,0.0,-0.0,1.0
MT-RNR2,FGFR3,0.4662225935328324,1000.0,0.0,-0.0,1.0
MT-RNR2,PLTP,0.4661094903121411,1000.0,0.0,-0.0,1.0
MT-RNR2,CALN1,0.4660812009762509,1000.0,0.0,-0.0,1.0
MT-RNR2,EVI2A,0.4659822845996848,1000.0,0.0,-0.0,1.0
PPP3CA,PLP1,0.46590246424181647,-0.0,1.0,319.6731510704243,2.1225e-320
MT-RNR2,CNIH3,0.46582659695328105,1000.0,0.0,-0.0,1.0
MT-RNR2,SHOX2,0.46571337080982556,1000.0,0.0,-0.0,1.0
MT-RNR2,GNG7,0.46562850278964496,1000.0,0.0,-0.0,1.0
MT-RNR2,GSTO1,0.46561438908308306,1000.0,0.0,-0.0,1.0
MT-CYTB,MYOC,0.46528898338418967,1000.0,0.0,-0.0,1.0
MT-RNR2,RORB,0.4650627306268256,1000.0,0.0,-0.0,1.0
MT-RNR2,PDLIM2,0.46503499985871,1000.0,0.0,-0.0,1.0
MT-CYTB,CPLX3,0.46497807199390306,1000.0,0.0,-0.0,1.0
MT-ND1,MYOC,0.46489297994823287,1000.0,0.0,-0.0,1.0
MT-CYTB,VIP,0.4648364322834671,1000.0,0.0,-0.0,1.0
MT-RNR2,TMEM176B,0.4647515478960933,1000.0,0.0,-0.0,1.0
MT-RNR2,ID3,0.4646667790155395,1000.0,0.0,-0.0,1.0
MT-RNR2,GAD2,0.46466671435584617,1000.0,0.0,-0.0,1.0
MT-ND1,CPLX3,0.4646388175173669,1000.0,0.0,-0.0,1.0
MT-RNR2,GNG11,0.4646103426708262,1000.0,0.0,-0.0,1.0
MT-RNR2,MARK1,0.4645394123391193,1000.0,0.0,-0.0,1.0
MAP1B,GLUL,0.464524984748599,-0.0,1.0,8.635115144746156e-06,0.9999801171102587
MT-RNR2,DPY19L1,0.4645112126980248,1000.0,0.0,-0.0,1.0
MT-RNR2,PPP1R16B,0.4643131623517487,1000.0,0.0,-0.0,1.0
MT-ND1,VIP,0.4642706834811898,1000.0,0.0,-0.0,1.0
MT-CYTB,CRHBP,0.4640161761663516,1000.0,0.0,-0.0,1.0
MT-RNR2,ID4,0.46397371539828886,1000.0,0.0,-0.0,1.0
MT-RNR2,HOMER1,0.46362005035916587,1000.0,0.0,-0.0,1.0
MT-RNR2,HAP1,0.46354932702294427,1000.0,0.0,-0.0,1.0
MT-RNR2,FAM163B,0.4634644823594533,1000.0,0.0,-0.0,1.0
MT-RNR2,GJC3,0.463195876452241,1000.0,0.0,-0.0,1.0
GFAP,MT-RNR2,0.46318191789689406,-0.0,1.0,1000.0,0.0
MT-RNR2,SATB1,0.46313902789733996,1000.0,0.0,-0.0,1.0
MT-RNR2,CTSS,0.4630400774766308,1000.0,0.0,-0.0,1.0
PVALB,MT-RNR2,0.4630117258636701,-0.0,1.0,1000.0,0.0
PLP1,SLC1A2,0.4629787257064627,20.392975349003073,4.0459885648868066e-21,-0.0,1.0
MT-RNR2,SOWAHA,0.4628703414546003,1000.0,0.0,-0.0,1.0
MT-CYTB,DLX1AS,0.46282785812574867,1000.0,0.0,-0.0,1.0
MT-RNR2,NWD2,0.4628138796462817,1000.0,0.0,-0.0,1.0
MT-ND1,CRHBP,0.4627712552193569,1000.0,0.0,-0.0,1.0
ATP1B1,GLUL,0.4627074487786486,0.6659645049946991,0.21579207693928804,-0.0,1.0
MT-ND1,DLX1AS,0.46254510415679756,1000.0,0.0,-0.0,1.0
OLFM1,GLUL,0.46249856102677445,1.3630037896963067e-08,0.9999999686156784,-0.0,1.0
MT-RNR2,RGS17,0.4623611533147176,1000.0,0.0,-0.0,1.0
MT-RNR2,IL33,0.46233319774510523,1000.0,0.0,-0.0,1.0
MOBP,ARF3,0.4623146871638458,-0.0,1.0,216.8689005560945,1.3523821935871622e-217
MT-RNR2,AGT,0.46226210251365063,1000.0,0.0,-0.0,1.0
MT-RNR2,PRR18,0.4621208500377768,1000.0,0.0,-0.0,1.0
MT-RNR2,B2M,0.46195097962615866,1000.0,0.0,-0.0,1.0
MT-CYTB,SYT2,0.46189428563296664,1000.0,0.0,-0.0,1.0
MT-RNR2,GPRIN1,0.4617954637728007,1000.0,0.0,-0.0,1.0
MT-RNR2,SOX2,0.46176712237828216,1000.0,0.0,-0.0,1.0
MT-RNR2,VSTM2L,0.46169633396966314,1000.0,0.0,-0.0,1.0
MT-RNR2,KBTBD11,0.4616682529427263,1000.0,0.0,-0.0,1.0
PPP3CA,MOBP,0.4616139977189118,1000.0,0.0,-0.0,1.0
MT-RNR2,SOX2OT,0.46151298140771496,1000.0,0.0,-0.0,1.0
MT-RNR2,KCNAB1,0.46137107171666913,1000.0,0.0,-0.0,1.0
MT-RNR2,FAM3C,0.4612153970043792,1000.0,0.0,-0.0,1.0
MT-ND1,SYT2,0.4612153414372062,1000.0,0.0,-0.0,1.0
MT-RNR2,ADGRA1,0.46115881832822786,1000.0,0.0,-0.0,1.0
MT-CYTB,IGHM,0.46104582521836374,1000.0,0.0,-0.0,1.0
MT-RNR2,FXYD7,0.4610174315907211,1000.0,0.0,-0.0,1.0
MT-RNR2,FABP7,0.4610032269688251,1000.0,0.0,-0.0,1.0
MT-RNR2,AK5,0.46080536593058646,1000.0,0.0,-0.0,1.0
MT-RNR2,SYNPR,0.4607489569311719,1000.0,0.0,-0.0,1.0
MT-RNR2,DNAJC21,0.4607345382468868,1000.0,0.0,-0.0,1.0
MT-CYTB,GM28928,0.4605371493709159,1000.0,0.0,-0.0,1.0
MT-RNR2,GRM7,0.46053658859885116,1000.0,0.0,-0.0,1.0
MOBP,OLFM1,0.4605228889791753,-0.0,1.0,1000.0,0.0
MT-CYTB,CBLN1,0.46046581306249784,1000.0,0.0,-0.0,1.0
MT-ND1,IGHM,0.4603668813473458,1000.0,0.0,-0.0,1.0
OLFM1,PLP1,0.46027354630872147,-0.0,1.0,176.26218737201094,5.467800092309574e-177
MT-CYTB,ADGRF5,0.46019724205993817,1000.0,0.0,-0.0,1.0
THBS4,MT-RNR1,0.46018285444289525,-0.0,1.0,1000.0,0.0
MT-CYTB,TAC1,0.4601546068923735,1000.0,0.0,-0.0,1.0
MT-RNR2,LIN7A,0.46008379214586687,1000.0,0.0,-0.0,1.0
MT-RNR2,JUNB,0.4599565815519152,1000.0,0.0,-0.0,1.0
MT-ND1,GM28928,0.45991483810009376,1000.0,0.0,-0.0,1.0
MT-RNR2,COTL1,0.459914282601218,1000.0,0.0,-0.0,1.0
MT-RNR2,H13,0.45990017018567303,1000.0,0.0,-0.0,1.0
MT-CYTB,UNC13C,0.45987195059991537,1000.0,0.0,-0.0,1.0
CAMK2N1,PLP1,0.4598399032501876,1.1751088609147091,0.06681764104614125,-0.0,1.0
MT-CYTB,TRBC2,0.45975875756969636,1000.0,0.0,-0.0,1.0
MT-RNR2,BCL11B,0.45968774138620977,1000.0,0.0,-0.0,1.0
MT-RNR2,FAM212B,0.45964533874215285,1000.0,0.0,-0.0,1.0
CCDC153,MT-CYTB,0.4596039484565921,-0.0,1.0,1000.0,0.0
MT-ND1,TAC1,0.45958886902537865,1000.0,0.0,-0.0,1.0
MT-ND1,CBLN1,0.4595604707280363,1000.0,0.0,-0.0,1.0
MT-RNR2,ASIC2,0.4595469227665341,1000.0,0.0,-0.0,1.0
MBP,PPP3CA,0.45939365175167723,1000.0,0.0,-0.0,1.0
PTGDS,PPP3CA,0.4593735742288173,3.5054749900553286e-12,0.9999999999919283,-0.0,1.0
MT-ND1,UNC13C,0.4593628606865271,1000.0,0.0,-0.0,1.0
MT-RNR2,DPP10,0.45936278037620754,1000.0,0.0,-0.0,1.0
MT-RNR2,IGFBP5,0.4592777422232128,1000.0,0.0,-0.0,1.0
MT-RNR1,MYOC,0.459263450993167,1000.0,0.0,-0.0,1.0
MT-CYTB,VTN,0.4591648782980744,1000.0,0.0,-0.0,1.0
MT-ND1,ADGRF5,0.45912204618915586,1000.0,0.0,-0.0,1.0
MT-RNR2,CACNA2D3,0.4590940711647499,1000.0,0.0,-0.0,1.0
MT-ND1,TRBC2,0.4590798138441253,1000.0,0.0,-0.0,1.0
MYL4,MT-CYTB,0.4590658229063963,-0.0,1.0,1000.0,0.0
MT-RNR2,NEK7,0.45899491181766144,1000.0,0.0,-0.0,1.0
MT-RNR2,CXCL14,0.45893804944825245,1000.0,0.0,-0.0,1.0
MT-RNR2,IFI27,0.45890987618183,1000.0,0.0,-0.0,1.0
MT-CYTB,STAC2,0.45888172220267376,1000.0,0.0,-0.0,1.0
MT-RNR2,CLIC4,0.4588393904314142,1000.0,0.0,-0.0,1.0
MT-RNR2,2900052N01RIK,0.4588109124145365,1000.0,0.0,-0.0,1.0
MT-CYTB,CUX2,0.4587685972260419,1000.0,0.0,-0.0,1.0
MT-RNR2,SLC6A11,0.45876829594701923,1000.0,0.0,-0.0,1.0
CCDC153,MT-ND1,0.4586984536777376,-0.0,1.0,1000.0,0.0
PTGDS,SLC1A2,0.45867366383126357,-0.0,1.0,61.92002581404551,1.2021929753016962e-62
MT-RNR2,FGF1,0.4586552503371777,1000.0,0.0,-0.0,1.0
MT-CYTB,LRRC10B,0.4586271506063578,1000.0,0.0,-0.0,1.0
MT-ND1,STAC2,0.45859909210402805,1000.0,0.0,-0.0,1.0
MT-RNR1,VIP,0.45858457242602907,1000.0,0.0,-0.0,1.0
GLUL,YWHAZ,0.4585756665883203,20.747893499730694,1.7869257216537883e-21,-0.0,1.0
MT-RNR2,TIAM1,0.4585706418950473,1000.0,0.0,-0.0,1.0
MT-RNR2,NECAB1,0.4585702993596856,1000.0,0.0,-0.0,1.0
MT-RNR2,FOXP1,0.45852817206822555,1000.0,0.0,-0.0,1.0
MT-RNR2,GPD1,0.45828761574919297,1000.0,0.0,-0.0,1.0
MT-ND1,CUX2,0.45825949700123236,1000.0,0.0,-0.0,1.0
GLUL,STMN3,0.4582175819215502,0.00848648011943743,0.9806488421076203,-0.0,1.0
MYL4,MT-ND1,0.4582170254002322,-0.0,1.0,1000.0,0.0
MT-RNR1,CPLX3,0.4582167874916727,1000.0,0.0,-0.0,1.0
MT-ND1,VTN,0.4582028448675292,1000.0,0.0,-0.0,1.0
HPCA,SCD2,0.4581940862456045,0.9748025950607242,0.10597353095767689,-0.0,1.0
MT-RNR2,CNRIP1,0.45817437710004416,1000.0,0.0,-0.0,1.0
MT-RNR2,CPNE9,0.45816014849597364,1000.0,0.0,-0.0,1.0
NPY,MT-RNR2,0.4581181738403997,-0.0,1.0,1000.0,0.0
GLUL,THY1,0.4578347691486568,11.812876959301102,1.5385904792131264e-12,-0.0,1.0
MT-RNR2,OPALIN,0.45777948768182264,1000.0,0.0,-0.0,1.0
MT-RNR2,1810041L15RIK,0.4577783264407335,1000.0,0.0,-0.0,1.0
MT-CYTB,IGFBP6,0.4577218922418056,1000.0,0.0,-0.0,1.0
MT-CYTB,ZFPM2,0.4577218922418056,1000.0,0.0,-0.0,1.0
MT-ND1,LRRC10B,0.45766516910954913,1000.0,0.0,-0.0,1.0
MT-RNR2,TMEM88B,0.45762320208001966,1000.0,0.0,-0.0,1.0
MT-RNR1,CRHBP,0.45759452721878424,1000.0,0.0,-0.0,1.0
MT-RNR2,HOMER2,0.45756607239801594,1000.0,0.0,-0.0,1.0
MT-CYTB,SPINK8,0.4575095777792049,1000.0,0.0,-0.0,1.0
MT-ND1,ZFPM2,0.45749590021266495,1000.0,0.0,-0.0,1.0
MT-CYTB,GPR151,0.4574672252439375,1000.0,0.0,-0.0,1.0
MBP,MEG3,0.4574502440764866,70.46095708879317,3.459735606449565e-71,-0.0,1.0
MT-RNR2,KCNC2,0.4573822302341628,1000.0,0.0,-0.0,1.0
PPP3CA,GLUL,0.4573776778689557,-0.0,1.0,0.00024248422397893862,0.9994418152836642
NRGN,GLUL,0.4573188229242378,-0.0,1.0,264.57688879859603,2.649178375735928e-265
MT-CYTB,MEIS2,0.4572410079284102,1000.0,0.0,-0.0,1.0
MT-RNR2,LMO3,0.45708538245571245,1000.0,0.0,-0.0,1.0
NRGN,SCD2,0.45704028365665983,-0.0,1.0,12.617002477484116,2.4154470552029027e-13
MT-ND1,SPINK8,0.45694384373881664,1000.0,0.0,-0.0,1.0
MBP,OLFM1,0.4569189616278926,1000.0,0.0,-0.0,1.0
MT-RNR2,GOLGA7B,0.45685900469799,1000.0,0.0,-0.0,1.0
SNHG11,GLUL,0.4568295074376796,-0.0,1.0,43.50899756223357,3.0974366855898634e-44
CABP7,MT-RNR2,0.45681638828393356,-0.0,1.0,1000.0,0.0
MT-ND1,IGFBP6,0.45675991046083153,1000.0,0.0,-0.0,1.0
MT-ND1,MEIS2,0.4567319133818881,1000.0,0.0,-0.0,1.0
MT-ND1,GPR151,0.45661846379709126,1000.0,0.0,-0.0,1.0
MT-CYTB,SLC32A1,0.4566044007487908,1000.0,0.0,-0.0,1.0
MT-RNR2,PRKCA,0.45659042728947796,1000.0,0.0,-0.0,1.0
NCDN,GLUL,0.45642807808525737,-0.0,1.0,9.056138418961144e-08,0.9999997914747285
MT-RNR2,POU3F3,0.45642061760044156,1000.0,0.0,-0.0,1.0
NRGN,SPARC,0.45635698854741347,1000.0,0.0,-0.0,1.0
MT-RNR1,DLX1AS,0.4563495992724123,1000.0,0.0,-0.0,1.0
MT-RNR2,SMS,0.4562933516765317,1000.0,0.0,-0.0,1.0
MT-CYTB,PENK,0.4562085610620951,1000.0,0.0,-0.0,1.0
MT-RNR2,FRMD4A,0.4561942054976354,1000.0,0.0,-0.0,1.0
TSHZ2,MT-RNR2,0.4561092812838905,-0.0,1.0,1000.0,0.0
MT-RNR2,TACC1,0.45606673748543863,1000.0,0.0,-0.0,1.0
MT-CYTB,RGS14,0.4560528924620359,1000.0,0.0,-0.0,1.0
MT-RNR2,GABRA5,0.4559113429900595,1000.0,0.0,-0.0,1.0
MT-ND1,SLC32A1,0.45586884921914084,1000.0,0.0,-0.0,1.0
MT-ND1,RGS14,0.4557136740801554,1000.0,0.0,-0.0,1.0
PTGDS,OLFM1,0.45559115976151005,-0.0,1.0,0.0016189544751167662,0.996279159107152
MT-RNR1,SYT2,0.4555858020377055,1000.0,0.0,-0.0,1.0
MT-RNR2,GRB14,0.4554873129766336,1000.0,0.0,-0.0,1.0
MT-ND1,PENK,0.45541638277764956,1000.0,0.0,-0.0,1.0
MT-RNR2,TESC,0.4552607210757466,1000.0,0.0,-0.0,1.0
MT-RNR2,MMP17,0.45520395139577274,1000.0,0.0,-0.0,1.0
MT-RNR2,ID2,0.4550908653638877,1000.0,0.0,-0.0,1.0
MT-CYTB,THRSP,0.4550493755123983,1000.0,0.0,-0.0,1.0
MT-RNR2,CPNE4,0.455034343065563,1000.0,0.0,-0.0,1.0
MT-RNR2,CSMD1,0.45497846969254546,1000.0,0.0,-0.0,1.0
LAMP5,MT-RNR2,0.4549777353428879,-0.0,1.0,1000.0,0.0
MT-RNR2,WDR6,0.4548365707497883,1000.0,0.0,-0.0,1.0
MT-RNR2,NCAM2,0.45483638122140235,1000.0,0.0,-0.0,1.0
MT-RNR1,IGHM,0.4547940177543855,1000.0,0.0,-0.0,1.0
MT-RNR2,CSRP1,0.4547094038077921,1000.0,0.0,-0.0,1.0
MT-RNR2,AATK,0.4547094038077921,1000.0,0.0,-0.0,1.0
MT-RNR1,TAC1,0.4546388314539236,1000.0,0.0,-0.0,1.0
MT-ND1,THRSP,0.45459701569567396,1000.0,0.0,-0.0,1.0
MT-CYTB,C1QL2,0.4545676326472711,1000.0,0.0,-0.0,1.0
MT-RNR2,RGS2,0.4545392507377479,1000.0,0.0,-0.0,1.0
MT-CYTB,RAB3B,0.45452622275240656,1000.0,0.0,-0.0,1.0
MT-ND1,C1QL2,0.45451152963129604,1000.0,0.0,-0.0,1.0
GAD1,MT-RNR2,0.45449709900855995,-0.0,1.0,1000.0,0.0
MT-RNR2,LIMCH1,0.45448267207905085,1000.0,0.0,-0.0,1.0
MT-RNR2,RAMP3,0.4544686905837141,1000.0,0.0,-0.0,1.0
MT-RNR2,SPON1,0.45446862001475263,1000.0,0.0,-0.0,1.0
MOBP,CHN1,0.454433034400265,0.12667145706696709,0.7470136590938958,4.8419102724610115,1.4390958723689021e-05
