,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
1126,0.03001501955624205,4,SNAP91,146.0148661320402,32.07409445524052,-22630.02647633475,-1.1372225213843334,0.013476742428533705,SE,30000,1.8235097197426446e-07,0.00016577463220399593,0.06671142578125,45301.28876331208,-22883.117683126842,253.09120679209082,0.0,0.0
1127,0.01767244958353446,4,EVL,146.0148661320402,55.16804550287682,-21352.7002162164,-1.1467621272813886,0.009270811002123538,SE,30000,1.2516604253339572e-07,0.0003121630213758899,0.03780865669250488,42746.63624307537,-21496.728004626195,144.0277884097959,0.0,0.0
1128,0.026499283773318,4,SOBP,146.0148661320402,36.46113337787798,-18728.36797923417,-1.1783286978343654,0.01114364360240783,SE,30000,1.8742380636801142e-07,0.00021550751808821885,0.05943870544433594,37497.97176911092,-18934.788540735262,206.42056150109056,0.0,0.0
1129,0.03770206153332364,4,ATP8A1,146.0148661320402,25.33217516681315,-18688.71105648321,-1.1777558608855876,0.013825908154932535,SE,30000,2.9843430168855794e-07,0.00017735601616644678,0.03219771385192871,37418.657923609,-19011.22136369822,322.51030721500865,0.0,0.0
1130,0.023245240549775927,4,RAD23B,146.0148661320402,41.70417326419878,-23062.394475156136,-1.1288612628230097,0.011489954133577021,SE,30000,2.2212204323022811e-07,0.0003275583072605307,0.037780046463012695,46166.024760954846,-23205.836431887794,143.44195673165814,0.0,0.0
1131,0.03265198867061966,4,DYNC1I1,146.0148661320402,29.403642307068562,-23267.013860486077,-1.1358458587612414,0.014648570799418224,SE,30000,2.476452211937446e-07,0.00019227372197436302,0.0668637752532959,46575.26353161473,-23513.83845958822,246.8245991021431,0.0,0.0
1132,0.039160982322102966,4,ATP6V0A1,146.0148661320402,24.351464130526022,-25204.65465585974,-1.1054033708103557,0.01792720372194358,SE,30000,2.9185167919778104e-07,0.0001617043993951826,0.037067413330078125,50450.545122362055,-25508.33441397575,303.6797581160099,0.0,0.0
1133,0.02980762865268001,4,KLF9,146.0148661320402,32.304160046881904,-23821.798896434542,-1.1203932747543666,0.01392399338587514,SE,30000,2.1860010607064617e-07,0.00020133475065494376,0.0660548210144043,47684.83360351166,-24046.443246473733,224.6443500391906,0.0,0.0
1134,0.031987680043150536,4,PDIA6,146.0148661320402,30.03489833339326,-20375.775907229923,-1.1591667536643322,0.013076180506915069,SE,30000,1.9063193616899931e-07,0.00015380703093758255,0.040480613708496094,40792.78762510242,-20705.92782961492,330.1519223849973,0.0,0.0
1135,0.03929662933839976,4,HOMER1,146.0148661320402,24.26397997727243,-12567.007799941624,-1.2220400203679658,0.01189821128894654,SE,30000,2.0671036538328344e-07,0.00011380317387409386,0.03235054016113281,25175.251410525827,-13007.253986859077,440.2461869174531,0.0,0.0
1136,0.025562830776906707,4,DCAF7,146.0148661320402,37.83318650373805,-22278.866515521797,-1.1397859355787916,0.011971117381677113,SE,30000,1.5605509618881694e-07,0.00019209490275615647,0.06480216979980469,44598.96884168617,-22515.991657928702,237.12514240690507,0.0,0.0
1137,0.0267527456290906,4,GRM7,146.0148661320402,36.106288828073815,-18357.890335559183,-1.198565166557764,0.011265864719081182,SE,30000,2.135055313618816e-07,0.00024111527317172648,0.06548762321472168,36757.01648176094,-18574.116949463423,216.22661390424037,0.0,0.0
1138,0.037232842588192046,4,STK32C,146.0148661320402,25.66392619046489,-18142.81776047332,-1.181739637167698,0.013476429614020787,SE,30000,2.503587123824105e-07,0.0001522720564929462,0.03921055793762207,36326.87133158922,-18494.279967850845,351.46220737752446,0.0,0.0
1139,0.06317717632585258,4,EMC10,146.0148661320402,14.717202865780063,-27120.278781891677,-1.0721547490357493,0.02890167029097297,SE,30000,5.162377527368222e-07,0.00012086655123957768,0.012149810791015625,54281.79337442593,-27650.448396051263,530.1696141595858,0.0,0.0
1140,0.022375220687532317,4,GSTO1,146.0148661320402,43.36435572043131,-11649.969346815116,-1.2243986170273542,0.00878569255844924,SE,30000,1.7010200800476549e-07,0.00026977497761299584,0.038736820220947266,23341.17450427281,-11817.224863631363,167.2555168162471,0.0,0.0
1141,0.07154710250489874,4,LINGO1,146.0148661320402,12.879406490531398,-24100.053853190046,-1.1248024866331072,0.027893882942583947,SE,30000,4.1083313828740144e-07,7.749070270890676e-05,0.01229095458984375,48241.343517022666,-24842.87080986899,742.8169566789438,0.0,0.0
1142,0.03796308377021044,4,CAR4,146.0148661320402,25.15117501009992,-5421.972285768832,-1.250801781425324,0.00997857287932571,SE,30000,2.2609714736883205e-07,0.00013266430898199155,0.03262066841125488,10885.18038218024,-5802.250896837602,380.27861106877026,0.0,0.0
1143,0.04680095067891204,4,FAM155A,146.0148661320402,20.214218247678684,-26533.4813576812,-1.1135839664343143,0.022098296750360825,SE,30000,3.5251922627663115e-07,0.0001409875760902959,0.038584232330322266,53108.19852600498,-26887.192158524318,353.7108008431169,0.0,0.0
1144,0.2606790192014198,4,LPPR4,146.0148661320402,2.814848190584451,-26613.64412868913,-1.1032737752210646,0.12258308406384252,SE,30000,1.9093855432233233e-06,5.44353840658933e-05,0.012447834014892578,53268.52406802084,-28956.03412755177,2342.38999886264,0.0,0.0
1145,0.07557668201676356,4,KCNAB1,146.0148661320402,12.139787791240103,-14378.708379361917,-1.2146007583134504,0.019040207513477188,SE,30000,5.700863346369205e-07,9.788813423744699e-05,0.014005899429321289,28798.65256936641,-15050.142242049138,671.4338626872213,0.0,0.0
1146,0.043933796242854296,4,ARF5,146.0148661320402,21.598185151955672,-27004.38748099807,-1.072544245951577,0.021108758356282488,SE,30000,3.1622613057509965e-07,0.00014188938899801904,0.03299260139465332,54050.010772638714,-27364.81697901358,360.42949801551003,0.0,0.0
1147,0.02715127587627094,4,A230050P20RIK,146.0148661320402,35.56174766982977,-21763.92164758477,-1.1481318961921414,0.012288748368024262,SE,30000,2.0544573161048672e-07,0.00022561634571893746,0.07004594802856445,43569.07910581212,-21983.41479175236,219.49314416758716,0.0,0.0
1148,0.014702980540488964,4,MARK1,146.0148661320402,66.51043856060178,-11927.431748253715,-1.224783182530837,0.007286790206917602,SE,30000,9.768857793965717e-08,0.0003477243272429782,0.0649726390838623,23896.09930715001,-12049.923741139888,122.49199288617274,0.0,0.0
